Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0034508,centromere complex assembly,19_GO:0071840 cellular component organization or biogenesis,-4.3,7.2,6.2,27994,56,483,7,1.4,0.54,2491|3070|8364|8365|8367|8467|79003,CENPI|HELLS|H4C3|H4C8|H4C5|SMARCA5|MIS12,-1.7,0.1 uM
GO Biological Processes,19,GO:0072330,monocarboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-4.3,3,4.9,27994,353,483,18,3.7,0.86,633|672|1565|1571|1579|2946|2948|7157|7376|55902|60481|79602|80270|85414|200879|221955|387712|100302288,BGN|BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|TP53|NR1H2|ACSS2|ELOVL5|ADIPOR2|HSD3B7|SLC45A3|LIPH|DAGLB|ENO4|MIR548P,-1.7,0.1 uM
Reactome Gene Sets,6,R-HSA-3214858,RMTs methylate histone arginines,,-4.2,5.9,5.7,27994,79,483,8,1.7,0.58,3012|3717|8329|8364|8365|8367|85235|317772,H2AC8|JAK2|H2AC13|H4C3|H4C8|H4C5|H2AC12|H2AC21,-1.6,0.1 uM
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-4.1,2.2,4.4,27994,733,483,28,5.8,1.1,672|1081|1565|1571|1579|2531|2946|2948|3357|3490|3631|5305|6713|7376|8439|51477|55224|55697|55902|60481|79602|79690|80270|85414|154141|200879|221955|100302288,BRCA1|CGA|CYP2D6|CYP2E1|CYP4A11|KDSR|GSTM2|GSTM4|HTR2B|IGFBP7|INPP4A|PIP4K2A|SQLE|NR1H2|NSMAF|ISYNA1|ETNK2|VAC14|ACSS2|ELOVL5|ADIPOR2|GAL3ST4|HSD3B7|SLC45A3|MBOAT1|LIPH|DAGLB|MIR548P,-1.5,0.1 uM
Reactome Gene Sets,6,R-HSA-211935,Fatty acids,,-4,15,7.4,27994,15,483,4,0.83,0.41,1565|1579|1580|284541,CYP2D6|CYP4A11|CYP4B1|CYP4A22,-1.5,0.1 uM
KEGG Pathway,24,ko05322,Systemic lupus erythematosus,,-4,4.4,5.1,27994,133,483,10,2.1,0.65,732|735|3012|6632|8329|8364|8365|8367|85235|317772,C8B|C9|H2AC8|SNRPD1|H2AC13|H4C3|H4C8|H4C5|H2AC12|H2AC21,-1.5,0.1 uM
GO Biological Processes,19,GO:0070266,necroptotic process,19_GO:0009987 cellular process,-3.9,7.7,6,27994,45,483,6,1.2,0.5,330|7157|9181|23643|54822|406893,BIRC3|TP53|ARHGEF2|LY96|TRPM7|MIR101-1,-1.5,0.1 uM
GO Biological Processes,19,GO:0061450,trophoblast cell migration,19_GO:0022414 reproductive process,-3.9,14,7.2,27994,16,483,4,0.83,0.41,397|7076|27161|85360,ARHGDIB|TIMP1|AGO2|SYDE1,-1.5,0.1 uM
GO Biological Processes,19,GO:1901163,regulation of trophoblast cell migration,19_GO:0022414 reproductive process,-3.9,14,7.2,27994,16,483,4,0.83,0.41,397|7076|27161|85360,ARHGDIB|TIMP1|AGO2|SYDE1,-1.5,0.1 uM
GO Biological Processes,19,GO:0016579,protein deubiquitination,19_GO:0008152 metabolic process,-3.9,3.1,4.6,27994,284,483,15,3.1,0.79,330|409|580|672|2648|4092|4194|4609|7157|8078|9736|9960|55593|139562|171023,BIRC3|ARRB2|BARD1|BRCA1|KAT2A|SMAD7|MDM4|MYC|TP53|USP5|USP34|USP3|OTUD5|OTUD6A|ASXL1,-1.5,0.1 uM
GO Biological Processes,19,GO:0031055,chromatin remodeling at centromere,19_GO:0071840 cellular component organization or biogenesis,-3.8,7.4,5.8,27994,47,483,6,1.2,0.5,2491|3070|8364|8365|8367|8467,CENPI|HELLS|H4C3|H4C8|H4C5|SMARCA5,-1.4,0.1 uM
GO Biological Processes,19,GO:0006957,"complement activation, alternative pathway",19_GO:0002376 immune system process,-3.8,14,6.9,27994,17,483,4,0.83,0.41,732|735|11326|574473,C8B|C9|VSIG4|MIR520B,-1.4,0.1 uM
GO Biological Processes,19,GO:0002031,G protein-coupled receptor internalization,19_GO:0048519 negative regulation of biological process,-3.8,14,6.9,27994,17,483,4,0.83,0.41,409|2868|3357|6295,ARRB2|GRK4|HTR2B|SAG,-1.4,0.1 uM
GO Biological Processes,19,GO:0031623,receptor internalization,19_GO:0051179 localization,-3.7,4.5,5,27994,116,483,9,1.9,0.62,409|928|1742|2868|3357|3576|3577|6295|22943,ARRB2|CD9|DLG4|GRK4|HTR2B|CXCL8|CXCR1|SAG|DKK1,-1.4,0.1 uM
Reactome Gene Sets,6,R-HSA-1912408,Pre-NOTCH Transcription and Translation,,-3.7,5,5.1,27994,93,483,8,1.7,0.58,2648|3012|4851|7157|8364|8365|8367|27161,KAT2A|H2AC8|NOTCH1|TP53|H4C3|H4C8|H4C5|AGO2,-1.4,0.1 uM
GO Biological Processes,19,GO:0097300,programmed necrotic cell death,19_GO:0009987 cellular process,-3.7,7,5.6,27994,50,483,6,1.2,0.5,330|7157|9181|23643|54822|406893,BIRC3|TP53|ARHGEF2|LY96|TRPM7|MIR101-1,-1.4,0.1 uM
KEGG Pathway,24,hsa05322,Systemic lupus erythematosus,,-3.6,4,4.8,27994,146,483,10,2.1,0.65,732|735|3012|6632|8329|8364|8365|8367|85235|317772,C8B|C9|H2AC8|SNRPD1|H2AC13|H4C3|H4C8|H4C5|H2AC12|H2AC21,-1.3,0.1 uM
Reactome Gene Sets,6,R-HSA-69473,G2/M DNA damage checkpoint,,-3.6,4.9,5,27994,95,483,8,1.7,0.58,580|672|2810|7157|8364|8365|8367|144715,BARD1|BRCA1|SFN|TP53|H4C3|H4C8|H4C5|RAD9B,-1.3,0.1 uM
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-3.6,2.2,4.1,27994,664,483,25,5.2,1,633|672|1565|1571|1579|2946|2948|3945|4200|5091|5205|7157|7376|10720|55902|60481|79602|80270|80724|85414|200879|221955|284541|387712|100302288,BGN|BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|LDHB|ME2|PC|ATP8B1|TP53|NR1H2|UGT2B11|ACSS2|ELOVL5|ADIPOR2|HSD3B7|ACAD10|SLC45A3|LIPH|DAGLB|CYP4A22|ENO4|MIR548P,-1.3,0.1 uM
GO Biological Processes,19,GO:0070646,protein modification by small protein removal,19_GO:0008152 metabolic process,-3.6,2.9,4.4,27994,301,483,15,3.1,0.79,330|409|580|672|2648|4092|4194|4609|7157|8078|9736|9960|55593|139562|171023,BIRC3|ARRB2|BARD1|BRCA1|KAT2A|SMAD7|MDM4|MYC|TP53|USP5|USP34|USP3|OTUD5|OTUD6A|ASXL1,-1.3,0.1 uM
GO Biological Processes,19,GO:0060353,regulation of cell adhesion molecule production,19_GO:0050789 regulation of biological process,-3.5,12,6.3,27994,20,483,4,0.83,0.41,3576|4851|406893|574476,CXCL8|NOTCH1|MIR101-1|MIR520C,-1.3,0.1 uM
Reactome Gene Sets,6,R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,-3.5,5.3,5,27994,76,483,7,1.4,0.54,580|672|7157|8364|8365|8367|8467,BARD1|BRCA1|TP53|H4C3|H4C8|H4C5|SMARCA5,-1.3,0.1 uM
GO Biological Processes,19,GO:0042304,regulation of fatty acid biosynthetic process,19_GO:0050789 regulation of biological process,-3.4,6.3,5.2,27994,55,483,6,1.2,0.5,672|7376|60481|79602|85414|100302288,BRCA1|NR1H2|ELOVL5|ADIPOR2|SLC45A3|MIR548P,-1.3,0.1 uM
Reactome Gene Sets,6,R-HSA-5693606,DNA Double Strand Break Response,,-3.4,5.3,5,27994,77,483,7,1.4,0.54,580|672|7157|8364|8365|8367|8467,BARD1|BRCA1|TP53|H4C3|H4C8|H4C5|SMARCA5,-1.3,0.1 uM
GO Biological Processes,19,GO:0002224,toll-like receptor signaling pathway,19_GO:0002376 immune system process,-3.4,3.7,4.5,27994,155,483,10,2.1,0.65,330|409|1520|2319|3329|3965|4214|10695|23643|51311,BIRC3|ARRB2|CTSS|FLOT2|HSPD1|LGALS9|MAP3K1|CNPY3|LY96|TLR8,-1.3,0.1 uM
GO Biological Processes,19,GO:0043651,linoleic acid metabolic process,19_GO:0008152 metabolic process,-3.4,11,6.1,27994,21,483,4,0.83,0.41,1579|2946|60481|284541,CYP4A11|GSTM2|ELOVL5|CYP4A22,-1.2,0.1 uM
GO Biological Processes,19,GO:0006352,"DNA-templated transcription, initiation",19_GO:0008152 metabolic process,-3.4,3,4.3,27994,249,483,13,2.7,0.74,4851|6256|6873|7157|7376|8148|8364|8365|8367|8467|10001|25885|126382,NOTCH1|RXRA|TAF2|TP53|NR1H2|TAF15|H4C3|H4C8|H4C5|SMARCA5|MED6|POLR1A|NR2C2AP,-1.2,0.1 uM
GO Biological Processes,19,GO:2000241,regulation of reproductive process,19_GO:0022414 reproductive process,-3.4,3.7,4.5,27994,158,483,10,2.1,0.65,397|4851|6256|6690|7076|10371|27161|55231|55726|85360,ARHGDIB|NOTCH1|RXRA|SPINK1|TIMP1|SEMA3A|AGO2|CCDC87|INTS13|SYDE1,-1.2,0.1 uM
GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-3.4,2.1,3.9,27994,689,483,25,5.2,1,94|598|2660|2810|3484|3490|4092|4851|5371|6446|6608|7157|9175|9306|9353|9746|10371|23327|51316|51330|51379|79602|127833|149428|406990,ACVRL1|BCL2L1|MSTN|SFN|IGFBP1|IGFBP7|SMAD7|NOTCH1|PML|SGK1|SMO|TP53|MAP3K13|SOCS6|SLIT2|CLSTN3|SEMA3A|NEDD4L|PLAC8|TNFRSF12A|CRLF3|ADIPOR2|SYT2|BNIPL|MIR208A,-1.2,0.1 uM
GO Biological Processes,19,GO:0001558,regulation of cell growth,19_GO:0040007 growth,-3.3,2.5,4,27994,423,483,18,3.7,0.86,94|2810|3484|3490|4092|5371|6446|7157|9175|9353|9746|10371|23327|51330|51379|79602|127833|406990,ACVRL1|SFN|IGFBP1|IGFBP7|SMAD7|PML|SGK1|TP53|MAP3K13|SLIT2|CLSTN3|SEMA3A|NEDD4L|TNFRSF12A|CRLF3|ADIPOR2|SYT2|MIR208A,-1.2,0.1 uM
GO Biological Processes,19,GO:0007566,embryo implantation,19_GO:0022414 reproductive process,-3.3,6,5,27994,58,483,6,1.2,0.5,397|3490|6256|7076|27161|85360,ARHGDIB|IGFBP7|RXRA|TIMP1|AGO2|SYDE1,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-5633007,Regulation of TP53 Activity,,-3.3,3.6,4.4,27994,160,483,10,2.1,0.65,580|672|4194|5305|5371|6446|6873|7157|8148|144715,BARD1|BRCA1|MDM4|PIP4K2A|PML|SGK1|TAF2|TP53|TAF15|RAD9B,-1.2,0.1 uM
GO Biological Processes,19,GO:1903019,negative regulation of glycoprotein metabolic process,19_GO:0048519 negative regulation of biological process,-3.3,11,5.9,27994,22,483,4,0.83,0.41,325|27161|406893|574476,APCS|AGO2|MIR101-1|MIR520C,-1.2,0.1 uM
GO Biological Processes,19,GO:0002029,desensitization of G protein-coupled receptor signaling pathway,19_GO:0048519 negative regulation of biological process,-3.3,11,5.9,27994,22,483,4,0.83,0.41,409|2868|3357|6295,ARRB2|GRK4|HTR2B|SAG,-1.2,0.1 uM
GO Biological Processes,19,GO:0060352,cell adhesion molecule production,19_GO:0009987 cellular process,-3.3,11,5.9,27994,22,483,4,0.83,0.41,3576|4851|406893|574476,CXCL8|NOTCH1|MIR101-1|MIR520C,-1.2,0.1 uM
GO Biological Processes,19,GO:0022401,negative adaptation of signaling pathway,19_GO:0048519 negative regulation of biological process,-3.3,11,5.9,27994,22,483,4,0.83,0.41,409|2868|3357|6295,ARRB2|GRK4|HTR2B|SAG,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-211945,Phase I - Functionalization of compounds,,-3.3,4.4,4.6,27994,106,483,8,1.7,0.58,216|1565|1571|1579|1580|6256|55902|284541,ALDH1A1|CYP2D6|CYP2E1|CYP4A11|CYP4B1|RXRA|ACSS2|CYP4A22,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-3.3,2,3.8,27994,739,483,26,5.4,1,123|1081|1565|1571|1579|1580|2169|2531|2948|3631|5305|6256|6713|7376|10001|55224|55697|57110|60481|63924|80270|80724|81846|154141|200879|284541,PLIN2|CGA|CYP2D6|CYP2E1|CYP4A11|CYP4B1|FABP2|KDSR|GSTM4|INPP4A|PIP4K2A|RXRA|SQLE|NR1H2|MED6|ETNK2|VAC14|PLAAT1|ELOVL5|CIDEC|HSD3B7|ACAD10|SBF2|MBOAT1|LIPH|CYP4A22,-1.2,0.1 uM
GO Biological Processes,19,GO:0006342,chromatin silencing,19_GO:0048519 negative regulation of biological process,-3.2,3.9,4.4,27994,135,483,9,1.9,0.62,3012|3070|8329|8364|8365|8367|8467|85235|317772,H2AC8|HELLS|H2AC13|H4C3|H4C8|H4C5|SMARCA5|H2AC12|H2AC21,-1.2,0.1 uM
GO Biological Processes,19,GO:0023058,adaptation of signaling pathway,19_GO:0023052 signaling,-3.2,10,5.8,27994,23,483,4,0.83,0.41,409|2868|3357|6295,ARRB2|GRK4|HTR2B|SAG,-1.2,0.1 uM
GO Biological Processes,19,GO:0044706,multi-multicellular organism process,19_GO:0051704 multi-organism process,-3.2,3.1,4.2,27994,226,483,12,2.5,0.71,49|397|3490|3678|3965|6256|6863|7076|23764|27161|79602|85360,ACR|ARHGDIB|IGFBP7|ITGA5|LGALS9|RXRA|TAC1|TIMP1|MAFF|AGO2|ADIPOR2|SYDE1,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-1912422,Pre-NOTCH Expression and Processing,,-3.2,4.3,4.5,27994,109,483,8,1.7,0.58,2648|3012|4851|7157|8364|8365|8367|27161,KAT2A|H2AC8|NOTCH1|TP53|H4C3|H4C8|H4C5|AGO2,-1.2,0.1 uM
KEGG Pathway,24,ko05222,Small cell lung cancer,,-3.2,4.8,4.7,27994,84,483,7,1.4,0.54,330|598|1163|3912|4609|6256|7157,BIRC3|BCL2L1|CKS1B|LAMB1|MYC|RXRA|TP53,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-5693532,DNA Double-Strand Break Repair,,-3.2,3.5,4.3,27994,166,483,10,2.1,0.65,580|672|5425|7157|8364|8365|8367|8467|10714|144715,BARD1|BRCA1|POLD2|TP53|H4C3|H4C8|H4C5|SMARCA5|POLD3|RAD9B,-1.2,0.1 uM
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-3.2,2.8,4,27994,294,483,14,2.9,0.76,580|672|701|2491|2810|4194|7157|8364|8365|8367|11004|79003|119504|144715,BARD1|BRCA1|BUB1B|CENPI|SFN|MDM4|TP53|H4C3|H4C8|H4C5|KIF2C|MIS12|ANAPC16|RAD9B,-1.2,0.1 uM
GO Biological Processes,19,GO:0042537,benzene-containing compound metabolic process,19_GO:0008152 metabolic process,-3.2,9.7,5.6,27994,24,483,4,0.83,0.41,1571|1580|2946|2948,CYP2E1|CYP4B1|GSTM2|GSTM4,-1.1,0.1 uM
GO Biological Processes,19,GO:0060354,negative regulation of cell adhesion molecule production,19_GO:0048519 negative regulation of biological process,-3.1,16,6.5,27994,11,483,3,0.62,0.36,3576|4851|406893,CXCL8|NOTCH1|MIR101-1,-1.1,0.1 uM
GO Biological Processes,19,GO:0042985,negative regulation of amyloid precursor protein biosynthetic process,19_GO:0048519 negative regulation of biological process,-3.1,16,6.5,27994,11,483,3,0.62,0.36,27161|406893|574476,AGO2|MIR101-1|MIR520C,-1.1,0.1 uM
KEGG Pathway,24,ko04621,NOD-like receptor signaling pathway,,-3.1,3.4,4.2,27994,170,483,10,2.1,0.65,330|598|3449|3576|3708|3709|54822|55054|56919|388646,BIRC3|BCL2L1|IFNA16|CXCL8|ITPR1|ITPR2|TRPM7|ATG16L1|DHX33|GBP7,-1.1,0.1 uM
GO Biological Processes,19,GO:0001676,long-chain fatty acid metabolic process,19_GO:0008152 metabolic process,-3.1,4.1,4.4,27994,113,483,8,1.7,0.58,1565|1571|1579|2946|2948|60481|221955|284541,CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|ELOVL5|DAGLB|CYP4A22,-1.1,0.1 uM
KEGG Pathway,24,hsa04630,JAK-STAT signaling pathway,,-3.1,3.4,4.2,27994,171,483,10,2.1,0.65,598|3449|3460|3568|3717|4609|7076|9180|9306|10401,BCL2L1|IFNA16|IFNGR2|IL5RA|JAK2|MYC|TIMP1|OSMR|SOCS6|PIAS3,-1.1,0.1 uM
GO Biological Processes,19,GO:0001667,ameboidal-type cell migration,19_GO:0040011 locomotion,-3.1,2.3,3.8,27994,483,483,19,3.9,0.88,94|397|3357|4851|5063|5371|6608|6863|7076|8826|9353|9475|10371|27161|56999|85360|154810|406893|574452,ACVRL1|ARHGDIB|HTR2B|NOTCH1|PAK3|PML|SMO|TAC1|TIMP1|IQGAP1|SLIT2|ROCK2|SEMA3A|AGO2|ADAMTS9|SYDE1|AMOTL1|MIR101-1|MIR494,-1.1,0.1 uM
Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-3.1,3.7,4.2,27994,142,483,9,1.9,0.62,2648|3012|8329|8364|8365|8367|55689|85235|317772,KAT2A|H2AC8|H2AC13|H4C3|H4C8|H4C5|YEATS2|H2AC12|H2AC21,-1.1,0.1 uM
GO Biological Processes,19,GO:0034080,CENP-A containing nucleosome assembly,19_GO:0071840 cellular component organization or biogenesis,-3.1,6.7,5,27994,43,483,5,1,0.46,2491|8364|8365|8367|8467,CENPI|H4C3|H4C8|H4C5|SMARCA5,-1.1,0.1 uM
GO Biological Processes,19,GO:0061641,CENP-A containing chromatin organization,19_GO:0071840 cellular component organization or biogenesis,-3.1,6.7,5,27994,43,483,5,1,0.46,2491|8364|8365|8367|8467,CENPI|H4C3|H4C8|H4C5|SMARCA5,-1.1,0.1 uM
GO Biological Processes,19,GO:0007050,cell cycle arrest,19_GO:0048519 negative regulation of biological process,-3.1,3,4,27994,235,483,12,2.5,0.71,580|672|2810|3576|4194|4609|4851|5371|7157|51379|64121|92335,BARD1|BRCA1|SFN|CXCL8|MDM4|MYC|NOTCH1|PML|TP53|CRLF3|RRAGC|STRADA,-1.1,0.1 uM
GO Biological Processes,19,GO:0070265,necrotic cell death,19_GO:0009987 cellular process,-3,5.4,4.7,27994,65,483,6,1.2,0.5,330|7157|9181|23643|54822|406893,BIRC3|TP53|ARHGEF2|LY96|TRPM7|MIR101-1,-1.1,0.1 uM
Reactome Gene Sets,6,R-HSA-9616222,Transcriptional regulation of granulopoiesis,,-3,4.5,4.4,27994,90,483,7,1.4,0.54,3012|4609|5371|6256|8364|8365|8367,H2AC8|MYC|PML|RXRA|H4C3|H4C8|H4C5,-1.1,0.1 uM
Reactome Gene Sets,6,R-HSA-211897,Cytochrome P450 - arranged by substrate type,,-3,5.3,4.6,27994,66,483,6,1.2,0.5,1565|1571|1579|1580|6256|284541,CYP2D6|CYP2E1|CYP4A11|CYP4B1|RXRA|CYP4A22,-1.1,0.1 uM
KEGG Pathway,24,ko04151,PI3K-Akt signaling pathway,,-3,2.5,3.8,27994,342,483,15,3.1,0.79,598|672|1291|1292|2791|3449|3678|3717|3912|4609|6256|6446|7157|9180|56034,BCL2L1|BRCA1|COL6A1|COL6A2|GNG11|IFNA16|ITGA5|JAK2|LAMB1|MYC|RXRA|SGK1|TP53|OSMR|PDGFC,-1.1,0.1 uM
GO Biological Processes,19,GO:0046890,regulation of lipid biosynthetic process,19_GO:0050789 regulation of biological process,-3,3.1,4,27994,207,483,11,2.3,0.68,672|1081|3357|3490|6713|7376|8439|60481|79602|85414|100302288,BRCA1|CGA|HTR2B|IGFBP7|SQLE|NR1H2|NSMAF|ELOVL5|ADIPOR2|SLC45A3|MIR548P,-1.1,0.1 uM
Reactome Gene Sets,6,R-HSA-211979,Eicosanoids,,-3,14,6.2,27994,12,483,3,0.62,0.36,1579|1580|284541,CYP4A11|CYP4B1|CYP4A22,-1.1,0.1 uM
Reactome Gene Sets,6,R-HSA-5250924,B-WICH complex positively regulates rRNA expression,,-3,4.5,4.4,27994,91,483,7,1.4,0.54,2648|3012|8364|8365|8367|8467|25885,KAT2A|H2AC8|H4C3|H4C8|H4C5|SMARCA5|POLR1A,-1.1,0.1 uM
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-3,2.4,3.7,27994,380,483,16,3.3,0.81,598|672|1291|1292|2791|3449|3678|3717|3912|4609|6256|6446|7076|7157|9180|56034,BCL2L1|BRCA1|COL6A1|COL6A2|GNG11|IFNA16|ITGA5|JAK2|LAMB1|MYC|RXRA|SGK1|TIMP1|TP53|OSMR|PDGFC,-1.1,0.1 uM
Canonical Pathways,11,M5193,SIG CHEMOTAXIS,,-3,6.4,4.8,27994,45,483,5,1,0.46,3708|3709|5063|6295|9475,ITPR1|ITPR2|PAK3|SAG|ROCK2,-1.1,0.1 uM
GO Biological Processes,19,GO:0016049,cell growth,19_GO:0040007 growth,-3,2.2,3.7,27994,493,483,19,3.9,0.88,94|2810|3484|3490|4092|5371|6446|7157|8826|9175|9353|9746|10371|23327|51330|51379|79602|127833|406990,ACVRL1|SFN|IGFBP1|IGFBP7|SMAD7|PML|SGK1|TP53|IQGAP1|MAP3K13|SLIT2|CLSTN3|SEMA3A|NEDD4L|TNFRSF12A|CRLF3|ADIPOR2|SYT2|MIR208A,-1.1,0.1 uM
