_MEMBER_0.1 uM,_MEMBER_10 uM,_MEMBER_100 uM,_LogP_0.1 uM,_LogP_10 uM,_LogP_100 uM,GO,_PATTERN_,_RANK_,GiniIndex,#GeneInGO,#GeneInGOAndHitList,#GeneInHitList,#TotalGeneInLibrary,%InGO,Category,CategoryID,Description,Enrichment,GeneID,Hits,Log(q-value),LogP,PARENT_GO,STDV %InGO,Z-score,EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,1,0,0.0,-4.28319282776137,0.0,ko00040,M010,1,0,34,7,829,27994,0.8443908323281062,KEGG Pathway,24,Pentose and glucuronate interconversions,6.952316752997942,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.6851257054061852,-4.28319282776137,,0.31779944392053505,6.066721265516036,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-4.19746197891375,0.0,hsa00040,M010,1,0,35,7,829,27994,0.8443908323281062,KEGG Pathway,24,Pentose and glucuronate interconversions,6.7536791314837155,7360|7364|7365|7366|7367|10720|54490,UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.6254139639248775,-4.19746197891375,,0.31779944392053505,5.94998644707828,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.93897967858347,0.0,M00014,M010,1,0,27,6,829,27994,0.7237635705669482,KEGG Pathway,24,Glucuronate pathway (uronate pathway),7.504087923870795,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.490351620512526,-3.93897967858347,,0.2944040275270424,5.906666860228439,0,1,0,0,-11.854227086135316,9.455150784077201,http://http://www.broadinstitute.org/gsea/msigdb/geneset_page.jsp?geneSetName=uronate pathway
0,1,0,0.0,-3.93897967858347,0.0,hsa00053,M010,1,0,27,6,829,27994,0.7237635705669482,KEGG Pathway,24,Ascorbate and aldarate metabolism,7.504087923870795,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.490351620512526,-3.93897967858347,,0.2944040275270424,5.906666860228439,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.93897967858347,0.0,hsa_M00014,M010,1,0,27,6,829,27994,0.7237635705669482,KEGG Pathway,24,Glucuronate pathway (uronate pathway),7.504087923870795,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.490351620512526,-3.93897967858347,,0.2944040275270424,5.906666860228439,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.93897967858347,0.0,ko00053,M010,1,0,27,6,829,27994,0.7237635705669482,KEGG Pathway,24,Ascorbate and aldarate metabolism,7.504087923870795,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.490351620512526,-3.93897967858347,,0.2944040275270424,5.906666860228439,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.8544069374835006,0.0,GO:0052695,M010,1,0,18,5,829,27994,0.6031363088057901,GO Biological Processes,19,cellular glucuronidation,9.380109904838493,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.4526344602722838,-3.8544069374835006,19_GO:0008152 metabolic process,0.26891610494742685,6.212841726242802,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.3762098301739347,0.0,hsa00140,M010,1,0,61,8,829,27994,0.9650180940892642,KEGG Pathway,24,Steroid hormone biosynthesis,4.428642053431945,1581|7364|7365|7366|7367|10720|54490|158160,CYP7A1|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28|HSD17B7P2,-1.2447985288602472,-3.3762098301739347,,0.33953517770073355,4.683013471282165,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.313666846872101,0.0,GO:0006063,M010,1,0,23,5,829,27994,0.6031363088057901,GO Biological Processes,19,uronic acid metabolic process,7.34095557769969,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.2178316998196095,-3.313666846872101,19_GO:0008152 metabolic process,0.26891610494742685,5.3144920869856795,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-3.313666846872101,0.0,GO:0019585,M010,1,0,23,5,829,27994,0.6031363088057901,GO Biological Processes,19,glucuronate metabolic process,7.34095557769969,7364|7366|7367|10720|54490,UGT2B7|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.2178316998196095,-3.313666846872101,19_GO:0008152 metabolic process,0.26891610494742685,5.3144920869856795,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-2.8542000807083996,0.0,ko00860,M010,1,0,42,6,829,27994,0.7237635705669482,KEGG Pathway,24,Porphyrin and chlorophyll metabolism,4.824056522488369,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.0144499637518862,-2.8542000807083996,,0.2944040275270424,4.3325106295349585,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-2.8026943810595153,0.0,ko00140,M010,1,0,58,7,829,27994,0.8443908323281062,KEGG Pathway,24,Steroid hormone biosynthesis,4.075496027619483,1581|7364|7365|7366|7367|10720|54490,CYP7A1|UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.0012443961899042,-2.8026943810595153,,0.31779944392053505,4.095851372318737,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-2.799795003832512,0.0,hsa00860,M010,1,0,43,6,829,27994,0.7237635705669482,KEGG Pathway,24,Porphyrin and chlorophyll metabolism,4.711869161500267,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-1.0012443961899042,-2.799795003832512,,0.2944040275270424,4.2552525913184995,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-2.6458238510295193,0.0,hsa00983,M010,1,0,46,6,829,27994,0.7237635705669482,KEGG Pathway,24,Drug metabolism - other enzymes,4.404573346619815,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-0.9269345582608666,-2.6458238510295193,,0.2944040275270424,4.037043007574476,0,1,0,0,-11.854227086135316,9.455150784077201,
0,1,0,0.0,-2.6458238510295193,0.0,ko00983,M010,1,0,46,6,829,27994,0.7237635705669482,KEGG Pathway,24,Drug metabolism - other enzymes,4.404573346619815,7364|7365|7366|7367|10720|54490,UGT2B7|UGT2B10|UGT2B15|UGT2B17|UGT2B11|UGT2B28,-0.9269345582608666,-2.6458238510295193,,0.2944040275270424,4.037043007574476,0,1,0,0,-11.854227086135316,9.455150784077201,
1,1,1,-3.5906325965332866,-5.775571459550607,-5.37121542976914,GO:0032787,M111,3,0,664,97,1961,27994,4.946455889852117,GO Biological Processes,19,monocarboxylic acid metabolic process,2.085407924405424,31|37|51|124|125|126|127|337|633|634|672|1244|1374|1555|1558|1559|1565|1571|1579|1581|1737|2168|2938|2946|2948|3030|3032|3248|3479|3939|3945|4200|5066|5091|5105|5163|5205|5207|5230|5232|5444|5577|5629|6566|6916|7157|7364|7366|7367|7376|8647|8876|8942|9390|9972|10249|10464|10720|10762|11001|11182|22880|27163|27329|51302|51341|51703|54490|54529|54704|55862|55902|56898|60481|63827|79023|79071|79602|80025|80270|80724|85414|92126|142827|144193|197322|200879|221955|253017|283927|284541|285440|339761|387712|407032|414328|100302288,ACACA|ACADVL|ACOX1|ADH1A|ADH1B|ADH1C|ADH4|APOA4|BGN|CEACAM1|BRCA1|ABCC2|CPT1A|CYP2B6|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP7A1|DLAT|FABP1|GSTA1|GSTM2|GSTM4|HADHA|HADHB|HPGD|IGF1|LDHA|LDHB|ME2|PAM|PC|PCK1|PDK1|ATP8B1|PFKFB1|PGK1|PGK2|PON1|PRKAR2B|PROX1|SLC16A1|TBXAS1|TP53|UGT2B7|UGT2B15|UGT2B17|NR1H2|ABCB11|VNN1|KYNU|SLC22A13|NUP153|GLYAT|PIBF1|UGT2B11|NUP50|SLC27A2|SLC2A6|MORC2|NAAA|ANGPTL3|CYP39A1|ZBTB7A|ACSL5|UGT2B28|ASNSD1|PDP1|ECHDC1|ACSS2|BDH2|ELOVL5|BCAN|NUP37|ELOVL6|ADIPOR2|PANK2|HSD3B7|ACAD10|SLC45A3|DSEL|ACSM6|AMDHD1|ACSF3|LIPH|DAGLB|TECRL|NUDT7|CYP4A22|CYP4V2|CYP27C1|ENO4|MIR30C2|IDNK|MIR548P,-7.0361841021156755,-11.382439251477061,19_GO:0008152 metabolic process,0.4896575222487945,7.768883725326205,0,2,1,1,-11.382439251477061,4.690290692803887,
1,0,1,-2.8027558072342016,0.0,-5.799794490127378,GO:0006631,M101,2,0,396,57,1961,27994,2.9066802651708312,GO Biological Processes,19,fatty acid metabolic process,2.0547880642220266,31|37|51|127|337|634|672|1374|1555|1558|1559|1565|1571|1579|1581|2168|2938|2946|2948|3030|3032|3248|5066|5105|5163|5444|5577|6916|7376|8647|9390|10464|11001|22880|27163|27329|51703|54704|55862|55902|56898|60481|79071|79602|80025|80724|85414|142827|197322|200879|221955|253017|283927|284541|285440|407032|100302288,ACACA|ACADVL|ACOX1|ADH4|APOA4|CEACAM1|BRCA1|CPT1A|CYP2B6|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP7A1|FABP1|GSTA1|GSTM2|GSTM4|HADHA|HADHB|HPGD|PAM|PCK1|PDK1|PON1|PRKAR2B|TBXAS1|NR1H2|ABCB11|SLC22A13|PIBF1|SLC27A2|MORC2|NAAA|ANGPTL3|ACSL5|PDP1|ECHDC1|ACSS2|BDH2|ELOVL5|ELOVL6|ADIPOR2|PANK2|ACAD10|SLC45A3|ACSM6|ACSF3|LIPH|DAGLB|TECRL|NUDT7|CYP4A22|CYP4V2|MIR30C2|MIR548P,-3.4719431190985732,-6.739017022412334,19_GO:0008152 metabolic process,0.3793625967097049,5.801969003393989,0,2,0,0,-11.382439251477061,4.690290692803887,
1,0,1,-4.312264125031506,0.0,-2.6532143652488624,GO:0072330,M101,2,0,353,50,1961,27994,2.5497195308516063,GO Biological Processes,19,monocarboxylic acid biosynthetic process,2.022007040981866,31|37|337|633|634|672|1558|1559|1565|1571|1579|1581|2946|2948|3248|3479|3939|5207|5230|5232|5629|6916|7157|7376|8647|9972|10464|10762|11001|11182|51302|51341|54529|55902|60481|63827|79023|79071|79602|80270|85414|92126|142827|197322|200879|221955|253017|387712|407032|100302288,ACACA|ACADVL|APOA4|BGN|CEACAM1|BRCA1|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP7A1|GSTM2|GSTM4|HPGD|IGF1|LDHA|PFKFB1|PGK1|PGK2|PROX1|TBXAS1|TP53|NR1H2|ABCB11|NUP153|PIBF1|NUP50|SLC27A2|SLC2A6|CYP39A1|ZBTB7A|ASNSD1|ACSS2|ELOVL5|BCAN|NUP37|ELOVL6|ADIPOR2|HSD3B7|SLC45A3|DSEL|ACSM6|ACSF3|LIPH|DAGLB|TECRL|ENO4|MIR30C2|MIR548P,-2.803838347830493,-5.788365661174286,19_GO:0008152 metabolic process,0.3559581616568937,5.303539096995718,0,2,0,0,-11.382439251477061,4.690290692803887,
1,0,1,-4.4835124416384025,0.0,-2.8394233664648807,GO:0046394,M101,2,0,476,62,1961,27994,3.1616522182559916,GO Biological Processes,19,carboxylic acid biosynthetic process,1.8593968949129882,31|37|337|493|633|634|672|1558|1559|1565|1571|1579|1581|2346|2618|2946|2948|3248|3479|3939|4507|5053|5207|5230|5232|5629|6916|7157|7360|7376|8647|8942|9972|10464|10762|11001|11182|27165|29968|51302|51341|54529|55902|57214|60481|63827|79023|79071|79602|80270|84706|85414|92126|142827|197322|200879|221955|253017|284541|387712|407032|100302288,ACACA|ACADVL|APOA4|ATP2B4|BGN|CEACAM1|BRCA1|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP7A1|FOLH1|GART|GSTM2|GSTM4|HPGD|IGF1|LDHA|MTAP|PAH|PFKFB1|PGK1|PGK2|PROX1|TBXAS1|TP53|UGP2|NR1H2|ABCB11|KYNU|NUP153|PIBF1|NUP50|SLC27A2|SLC2A6|GLS2|PSAT1|CYP39A1|ZBTB7A|ASNSD1|ACSS2|CEMIP|ELOVL5|BCAN|NUP37|ELOVL6|ADIPOR2|HSD3B7|GPT2|SLC45A3|DSEL|ACSM6|ACSF3|LIPH|DAGLB|TECRL|CYP4A22|ENO4|MIR30C2|MIR548P,-2.781582703477808,-5.743235656419243,19_GO:0008152 metabolic process,0.3951317579077772,5.190273376271872,0,2,0,0,-11.382439251477061,4.690290692803887,
1,0,1,-4.469878619200305,0.0,-2.826080072418219,GO:0016053,M101,2,0,477,62,1961,27994,3.1616522182559916,GO Biological Processes,19,organic acid biosynthetic process,1.8554987882150573,31|37|337|493|633|634|672|1558|1559|1565|1571|1579|1581|2346|2618|2946|2948|3248|3479|3939|4507|5053|5207|5230|5232|5629|6916|7157|7360|7376|8647|8942|9972|10464|10762|11001|11182|27165|29968|51302|51341|54529|55902|57214|60481|63827|79023|79071|79602|80270|84706|85414|92126|142827|197322|200879|221955|253017|284541|387712|407032|100302288,ACACA|ACADVL|APOA4|ATP2B4|BGN|CEACAM1|BRCA1|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP7A1|FOLH1|GART|GSTM2|GSTM4|HPGD|IGF1|LDHA|MTAP|PAH|PFKFB1|PGK1|PGK2|PROX1|TBXAS1|TP53|UGP2|NR1H2|ABCB11|KYNU|NUP153|PIBF1|NUP50|SLC27A2|SLC2A6|GLS2|PSAT1|CYP39A1|ZBTB7A|ASNSD1|ACSS2|CEMIP|ELOVL5|BCAN|NUP37|ELOVL6|ADIPOR2|HSD3B7|GPT2|SLC45A3|DSEL|ACSM6|ACSF3|LIPH|DAGLB|TECRL|CYP4A22|ENO4|MIR30C2|MIR548P,-2.781582703477808,-5.712864504868375,19_GO:0008152 metabolic process,0.3951317579077772,5.1722493778199174,0,2,0,0,-11.382439251477061,4.690290692803887,
1,0,1,-5.692142333994244,0.0,-2.8841363796283446,GO:0006633,M101,2,0,173,14,483,27994,2.898550724637681,GO Biological Processes,19,fatty acid biosynthetic process,4.690290692803887,672|1565|1571|1579|2946|2948|7376|55902|60481|79602|85414|200879|221955|100302288,BRCA1|CYP2D6|CYP2E1|CYP4A11|GSTM2|GSTM4|NR1H2|ACSS2|ELOVL5|ADIPOR2|SLC45A3|LIPH|DAGLB|MIR548P,-2.5763361060111327,-5.692142333994244,19_GO:0008152 metabolic process,0.7633606043938335,6.451227543866341,0,2,0,0,-11.382439251477061,4.690290692803887,
1,1,1,-4.455307794939536,-7.903093243249987,-3.5524211469539324,R-HSA-211859,M111,3,0,222,43,1961,27994,2.1927587965323814,Reactome Gene Sets,6,Biological oxidations,2.76504908784358,124|125|126|127|216|314|1555|1558|1559|1565|1571|1579|1580|1581|1583|1588|2938|2939|2946|2947|2948|4143|6256|6916|7360|7364|7365|7366|7367|8648|9061|10249|10720|27430|51302|54490|54928|55902|92292|133688|196743|284541|285440,ADH1A|ADH1B|ADH1C|ADH4|ALDH1A1|AOC2|CYP2B6|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP4B1|CYP7A1|CYP11A1|CYP19A1|GSTA1|GSTA2|GSTM2|GSTM3|GSTM4|MAT1A|RXRA|TBXAS1|UGP2|UGT2B7|UGT2B10|UGT2B15|UGT2B17|NCOA1|PAPSS1|GLYAT|UGT2B11|MAT2B|CYP39A1|UGT2B28|BPNT2|ACSS2|GLYATL1|UGT3A1|PAOX|CYP4A22|CYP4V2,-5.260689040498108,-9.004884198531531,,0.33070604897382455,7.246546889978412,0,3,1,1,-9.004884198531531,3.232159179471391,
1,1,1,-3.2918410927910164,-3.508445221783507,-4.49525602180237,R-HSA-211945,M111,3,0,106,24,1961,27994,1.2238653748087711,Reactome Gene Sets,6,Phase I - Functionalization of compounds,3.232159179471391,124|125|126|127|216|314|1555|1558|1559|1565|1571|1579|1580|1581|1583|1588|6256|6916|8648|51302|55902|196743|284541|285440,ADH1A|ADH1B|ADH1C|ADH4|ALDH1A1|AOC2|CYP2B6|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP4B1|CYP7A1|CYP11A1|CYP19A1|RXRA|TBXAS1|NCOA1|CYP39A1|ACSS2|PAOX|CYP4A22|CYP4V2,-3.4173659052685013,-6.617493018951649,,0.2482870341222401,6.319326858017139,0,3,0,0,-9.004884198531531,3.232159179471391,
0,0,1,0.0,0.0,-2.196324253513079,GO:0006720,M001,1,0,144,20,1961,27994,1.0198878123406425,GO Biological Processes,19,isoprenoid metabolic process,1.9826902374072186,124|125|126|127|216|337|338|1558|1559|1565|1571|2719|3157|3158|3422|6010|79644|285440|339761|729920,ADH1A|ADH1B|ADH1C|ADH4|ALDH1A1|APOA4|APOB|CYP2C8|CYP2C9|CYP2D6|CYP2E1|GPC3|HMGCS1|HMGCS2|IDI1|RHO|SRD5A3|CYP4V2|CYP27C1|CRPPA,-0.7796869867565697,-2.5906480160751846,19_GO:0008152 metabolic process,0.22688792067638658,3.244790767170427,0,3,0,0,-9.004884198531531,3.232159179471391,
1,1,1,-3.2657039791527818,-3.1068942677269864,-7.043195567971496,R-HSA-556833,M111,3,0,739,95,1961,27994,4.844467108618052,Reactome Gene Sets,6,Metabolism of lipids,1.8351287177084405,31|37|51|123|221|416|590|1081|1119|1374|1558|1559|1565|1571|1579|1580|1581|1583|1588|2168|2169|2531|2948|3030|3032|3157|3158|3248|3422|3631|5019|5244|5286|5290|5291|5295|5298|5305|5444|5567|5728|6095|6256|6309|6713|6916|7376|8647|8648|8897|9412|9896|10001|11001|22880|23597|25942|27063|28234|51205|51302|51365|51586|51703|55224|55331|55697|56898|57110|57488|60481|63924|64850|66036|79071|79644|79888|80205|80270|80724|80736|81579|81846|114882|129642|142827|154141|197322|200879|253017|259230|283927|284541|285362|345275,ACACA|ACADVL|ACOX1|PLIN2|ALDH3B1|ARSF|BCHE|CGA|CHKA|CPT1A|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP4A11|CYP4B1|CYP7A1|CYP11A1|CYP19A1|FABP1|FABP2|KDSR|GSTM4|HADHA|HADHB|HMGCS1|HMGCS2|HPGD|IDI1|INPP4A|OXCT1|ABCB4|PIK3C2A|PIK3CA|PIK3CB|PIK3R1|PI4KB|PIP4K2A|PON1|PRKACB|PTEN|RORA|RXRA|SC5D|SQLE|TBXAS1|NR1H2|ABCB11|NCOA1|MTMR3|MED21|FIG4|MED6|SLC27A2|MORC2|ACOT9|SIN3A|ANKRD1|SLCO1B3|ACP6|CYP39A1|PLA1A|MED15|ACSL5|ETNK2|ACER3|VAC14|BDH2|PLAAT1|ESYT2|ELOVL5|CIDEC|ETNPPL|MTMR9|ELOVL6|SRD5A3|LPCAT1|CHD9|HSD3B7|ACAD10|SLC44A4|PLA2G12A|SBF2|OSBPL8|MBOAT2|ACSM6|MBOAT1|ACSF3|LIPH|TECRL|SGMS1|NUDT7|CYP4A22|SUMF1|HSD17B13,-4.595945471096562,-8.164049370074304,,0.484843113932384,6.31471789892129,0,4,1,1,-8.164049370074304,5.09834632476142,
