© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
prostaglandin E2	 	chemical - endogenous mammalian	 	0.584	 	3.85E-02	BCL2L1,BIRC3,C5AR1,CCL20,CXCL8,ERBB2,IGFBP1,MYC,TP53	 
phytic acid	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	BCL2L1	 
tert-butyl hydroperoxide	 	chemical toxicant	 	 	 	2.72E-02	CXCL8,TP53	 
Il2 beta gamma receptor	 	complex	 	 	 	2.18E-02	BCL2L1	 
Collagen type II	 	complex	 	 	 	3.75E-02	CCL20,JAK2,TLR8	 
alvespimycin	 	chemical drug	 	 	 	1.91E-02	BCL2L1,ERBB2	 
dexamethasone	 	chemical drug	 	-0.186	 	2.44E-03	ALDH1A1,ARHGEF2,ARRB2,BCL2L1,BGN,BIRC3,BNIPL,C5AR1,CCL20,CXCL8,CXCR1,CYP2D6,CYP2E1,CYP4A11,DNAJC15,ETNK2,FAIM,GNG11,IFNGR2,IGFBP1,IL5RA,ILF2,IQGAP1,ITGA5,ITPR1,JAK2,KAT2A,LDHB,LGALS3BP,LUC7L3,LYVE1,MAFF,MAT1A,MSTN,MYC,NIBAN1,PLIN2,RCAN1,RFX5,RXRA,SGK1,SLC25A22,SLC45A3,TAGAP,TIMP1,TLR8,TP53,TRPS1	95 (11)
fluticasone propionate	 	chemical drug	 	0.895	 	2.96E-02	BGN,CCL20,CXCL8,PLAC8,PLIN2,RCAN1,TIMP1,VSIG4	 
CD300LF	 	other	 	 	 	4.32E-02	CXCL8	 
trastuzumab	 	biologic drug	 	1.937	 	1.37E-04	BCL2L1,CXCL8,ERBB2,MYC	 
zerumbone	 	chemical - endogenous non-mammalian	 	1.000	 	1.43E-03	BCL2L1,BIRC3,MYC,TP53	21 (6)
clofazimine	 	chemical drug	 	 	 	2.18E-02	PLIN2	 
embelin	 	chemical - endogenous non-mammalian	 	 	 	2.30E-02	BCL2L1,MYC	 
oblimersen	 	biologic drug	 	-1.067	bias	2.83E-02	BCL2L1,CXCL8,H2AC8,MAFF	 
(+)-catechin	 	chemical drug	 	 	 	2.72E-02	CYP2E1,TP53	 
BIRC3	-2.350	enzyme	 	1.172	 	3.31E-04	BCL2L1,BIRC3,CXCL8,TP53	11 (3)
asoprisnil	 	chemical drug	 	 	 	4.34E-02	DKK1,SFN,SGK1	 
2,2,2-trichloroethanol	 	chemical toxicant	 	 	 	2.18E-02	TIMP1	 
trichloroethylene	 	chemical toxicant	 	 	 	4.32E-02	CYP2E1	 
cyanuric acid	 	chemical reagent	 	 	 	2.18E-02	CXCL8	 
lonaprisan	 	chemical drug	 	 	 	4.32E-02	MYC	 
plumbagin	 	chemical toxicant	 	 	 	1.32E-02	BCL2L1,BIRC3,TP53	 
CDK4/6	 	group	 	-1.342	 	1.74E-02	ARHGEF2,EEF1B2,JPT1,RPL27A,SEC22A	 
NUMB/NUMBL	 	group	 	 	 	2.18E-02	MSTN	 
LTB4R/LTB4R2	 	group	 	 	 	2.18E-02	CXCL8	 
NDPK	 	group	 	 	 	2.18E-02	CXCL8	 
Rsk	 	group	 	 	 	4.32E-02	CXCL8	 
Tgf beta	 	group	 	-1.292	 	1.05E-02	BCL2L1,BGN,COL6A2,CXCL8,HTATIP2,ITGA5,MYC,SGK1,SMAD7,TIMP1,TNFRSF12A	 
ERK1/2	 	group	 	-0.923	 	1.27E-02	BCL2L1,BIRC3,BRCA1,CCL20,CXCL8,DKK1,KIF2C,MYC,SGK1,TIMP1	 
CaMKII	 	complex	 	 	 	4.14E-02	BIRC3,TP53	 
TCR	 	complex	 	0.326	 	2.01E-02	BCL2L1,BIRC3,CXCL8,HSPD1,LDHB,MYC,RPL31,RPS2,SEMA3A,SLC25A3,SMAD7,TNFRSF12A	 
Timp	 	group	 	 	 	2.18E-02	BCL2L1	 
Patched	 	group	 	 	 	2.18E-02	SMO	 
Cofilin	 	group	 	 	 	4.32E-02	MYC	 
STAT	 	group	 	 	 	3.45E-03	BCL2L1,PIAS3,SMAD7,TIMP1	 
RNA polymerase II	 	complex	 	 	 	3.67E-03	BRCA1,CXCL8,DKK1,ERBB2,ERMAP,IGFBP1,ITGA5,MYC,SFN	9 (2)
NFkB (family)	 	group	 	 	 	5.59E-03	BCL2L1,CXCL8,TIMP1	44 (7)
MNK1/2	 	group	 	 	 	2.18E-02	MYC	 
RAS	 	group	 	 	 	4.35E-02	ARHGEF2,BCL2L1,CXCL8,PML,TP53	 
Tnf receptor	 	group	 	 	 	2.51E-03	CCL20,CXCL8,TIMP1	56 (7)
Jnk	 	group	 	-0.533	bias	2.78E-02	BCL2L1,BIRC3,BRCA1,CXCL8,DKK1,MYC,TIMP1	 
MKK3/6	 	group	 	 	 	2.18E-02	CXCL8	 
Aldose Reductase	 	group	 	 	 	6.73E-03	BCL2L1,CXCL8	21 (6)
Rock	 	group	 	 	 	2.71E-02	CXCL8,MAFK,MYC	 
Vegf	 	group	 	-0.164	bias	2.56E-02	BUB1B,CKS1B,CXCL8,CYP4A11,DKC1,HELLS,IL5RA,ITPR1,KIF2C,LYVE1,MYC,OSMR,RCAN1,RGL2,SGK1,TIMP1	 
PLC gamma	 	group	 	 	 	4.32E-02	MYC	 
NMDA Receptor	 	complex	 	 	 	6.73E-03	DLG4,TAC1	 
IKK (complex)	 	complex	 	1.387	 	2.18E-04	BCL2L1,BIRC3,BRCA1,CXCL8,MYC	52 (11)
Hsp90	 	group	 	-0.865	 	4.41E-02	BCL2L1,ERBB2,MYC,TP53	 
Egfr-Erbb2	 	complex	 	 	 	2.18E-02	CXCL8	 
Pdgfra-Pdgfrb	 	complex	 	 	 	4.32E-02	TIMP1	 
NfkB-RelA	 	complex	 	 	 	1.49E-02	BCL2L1,CXCL8,MYC	 
NIK	 	group	 	 	 	4.32E-02	CXCL8	 
Stat3-Stat3	 	complex	 	-0.152	bias	3.92E-03	APCS,BCL2L1,MYC,SPINK1	 
barasertib	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
1'-acetoxychavicol acetate	 	chemical reagent	 	 	 	2.51E-03	BCL2L1,BIRC3,MYC	37 (8)
cryptotanshinone	 	chemical drug	 	 	 	3.16E-02	BCL2L1,TP53	 
omethoate	 	chemical toxicant	 	 	 	4.32E-02	TP53	 
Ahr-aryl hydrocarbon-RelA	 	complex	 	 	 	2.18E-02	MYC	 
PPAR ligand-PPAR-Retinoic acid-RXRα	 	complex	 	 	 	2.18E-02	CYP4A11	 
3M-001	 	chemical drug	 	0.152	bias	6.19E-03	BCL2L1,CXCL8,IFNA16,MYC	 
prunetin	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	ADIPOR2	 
dacetuzumab	 	biologic drug	 	 	 	4.32E-02	BCL2L1	 
Ifn gamma	 	complex	 	 	 	2.48E-03	BCL2L1,CXCL8,JAK2,LGALS9,LY96,VSIG4	21 (3)
piracetam	 	chemical drug	 	 	 	2.18E-02	TP53	 
salinosporamide A	 	chemical drug	 	 	 	8.94E-03	BCL2L1,BIRC3,MYC	 
silipide	 	chemical drug	 	 	 	4.76E-04	ERBB2,TP53	 
ABT-737	 	chemical drug	 	 	 	7.72E-03	BCL2L1,CXCL8,TP53	 
RAB1B	 	other	 	 	 	3.47E-02	CXCL8,RRAGC,SRP54	 
3M-011	 	chemical reagent	 	0.000	bias	3.92E-03	BCL2L1,CXCL8,IFNA16,MYC	 
Dexamethasone-GR	 	complex	 	 	 	2.77E-03	RXRA,SGK1	 
conjugated linoleic acid	 	chemical drug	 	 	 	4.25E-04	BCL2L1,CXCL8,MAT1A,TP53	 
ERK	 	group	 	-0.796	 	1.58E-03	BCL2L1,BGN,CGA,CXCL8,IGFBP1,LAMB1,MAFF,MYC,SFN,TIMP1,TP53	76 (12)
luminespib	 	chemical drug	 	 	 	2.77E-03	BCL2L1,ERBB2	 
NF279	 	chemical reagent	 	 	 	2.18E-02	CXCL8	 
pinitol	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
ZM 323881	 	chemical - kinase inhibitor	 	 	 	2.18E-02	RCAN1	 
KDM3A	 	transcription regulator	 	 	 	4.42E-03	CD9,MYC,SLC45A3,SNORD114-2	 
DOT1L	 	phosphatase	 	 	 	3.16E-02	RPL19,RPS2	 
shikonin	 	chemical drug	 	 	 	1.55E-02	CXCL8,TP53	 
MCPH1	 	other	 	 	 	4.32E-02	BRCA1	 
ORMDL3	 	other	 	 	 	2.72E-02	CCL20,CXCL8	 
Il8r	 	group	 	 	 	2.30E-02	BCL2L1,CXCL8	 
IFN Beta	 	group	 	-1.958	 	1.97E-01	BCL2L1,CXCL8,MYC,TP53	 
BRCC3	 	enzyme	 	 	 	4.32E-02	JAK2	 
TCEAL7	 	transcription regulator	 	 	 	2.18E-02	BCL2L1	 
RBMS3	 	other	 	 	 	4.32E-02	MYC	 
NSA2	 	other	 	 	 	4.32E-02	TP53	 
THG1L	 	enzyme	 	 	 	2.18E-02	TP53	 
ZMIZ1	 	transcription regulator	 	 	 	4.32E-02	MYC	 
TIFA	 	other	 	 	 	4.14E-02	BCL2L1,CXCL8	 
IL1RL2	 	transmembrane receptor	 	 	 	6.73E-03	CCL20,CXCL8	 
PDLIM2	 	other	 	1.134	 	3.55E-03	CCL20,CEMIP,CXCL8,DNAJC15,F2RL2,GSTM2,LGALS3BP	 
MN1	 	other	 	 	 	4.32E-02	TP53	 
OGA	-1.813	enzyme	 	-1.571	 	2.03E-02	ACSS2,BCL2L1,CXCL8,ELF1,IFNGR2,LAMB1,PIAS3,PLIN2,ST14,TIMP1,TP53	 
MCM8	 	enzyme	 	 	 	2.18E-02	BCL2L1	 
DDX53	 	other	 	 	 	2.18E-02	TP53	 
PRPF31	 	other	 	 	 	2.18E-02	MDM4	 
UROS	 	enzyme	 	 	 	2.18E-02	ALAS2	 
MCAT	 	enzyme	 	 	 	2.18E-02	LY96	 
PRMT3	 	enzyme	 	 	 	4.32E-02	RPS2	 
GPR65	 	G-protein coupled receptor	 	 	 	4.32E-02	MYC	 
METTL3	 	enzyme	 	 	 	1.22E-02	CD9,TIMP1	 
DEFB104A/DEFB104B	 	other	 	 	 	4.32E-02	TAC1	 
TOX3	 	other	 	 	 	2.18E-02	BRCA1	 
C9orf72	-1.573	other	 	 	 	2.30E-02	CXCL8,PC	 
REG4	 	other	 	 	 	2.18E-02	BCL2L1	 
GRSF1	 	other	 	 	 	2.18E-02	AGO2	 
IL17C	 	cytokine	 	 	 	7.72E-03	BCL2L1,CCL20,CXCL8	60 (10)
ANKRD12	 	other	 	 	 	2.18E-02	ERBB2	 
FBXO44	 	enzyme	 	 	 	4.32E-02	BRCA1	 
IL36B	 	cytokine	 	 	 	2.30E-02	CCL20,CXCL8	 
RBM17	 	other	 	 	 	4.32E-02	ERBB2	 
CHI3L1	 	enzyme	 	 	 	1.49E-02	COL6A1,COL6A2,CXCL8	 
PIP5K1A	 	kinase	 	 	 	1.91E-02	CXCL8,TP53	 
SSBP2	 	transcription regulator	 	 	 	4.32E-02	MYC	 
CTSO	 	peptidase	 	 	 	2.18E-02	BRCA1	 
IL17R	 	complex	 	 	 	6.61E-03	CCL20,CXCL8,TIMP1	 
ABRAXAS2	 	other	 	 	 	4.32E-02	JAK2	 
PRDM5	 	transcription regulator	 	 	 	1.02E-02	CEMIP,MYC,NAV2,PIAS3,PML,TP53	 
FCN1	 	other	 	 	 	2.18E-02	CXCL8	 
RPRD1B	 	other	 	 	 	4.32E-02	MYC	 
CNOT1	 	other	 	 	 	4.32E-02	MYC	 
daporinad	 	chemical drug	 	 	 	3.47E-02	ALDH1A1,BRCA1,RCAN1	 
EEF1E1	 	translation regulator	 	 	 	2.18E-02	TP53	 
ALKBH3	1.101	enzyme	 	 	 	2.18E-02	BCL2L1	 
SIRT6	 	enzyme	 	 	 	3.16E-02	BIRC3,CXCL8	 
CCDC88C	 	other	 	 	 	4.32E-02	MYC	 
MDC1	 	other	 	 	 	2.18E-02	TP53	 
RNF138	 	enzyme	 	 	 	1.66E-02	BCL2L1,BIRC3,CCL20	 
ZNF300	 	transcription regulator	 	 	 	1.41E-03	CXCL8,MYC	 
IGF1R	 	transmembrane receptor	 	-1.961	 	2.05E-02	BCL2L1,IFNGR2,MYC,TP53	 
ZNF580	 	transcription regulator	 	 	 	2.18E-02	CXCL8	 
CCDC22	 	other	 	 	 	2.18E-02	BIRC3	 
TRIM71	 	enzyme	 	 	 	4.32E-02	MYC	 
ADNP	 	transcription regulator	 	 	 	2.18E-02	TP53	 
DUOX1	 	enzyme	 	 	 	4.32E-02	CXCL8	 
Gata	 	group	 	 	 	4.32E-02	MAFK	 
GNRH	 	group	 	 	 	2.30E-02	CGA,SGK1	 
RPS6KA	 	group	 	 	 	2.18E-02	CXCL8	 
KMT5B	 	enzyme	 	 	 	6.73E-03	IGFBP1,SGK1	 
BCAS3	 	other	 	 	 	4.32E-02	MYC	 
TRIM39	 	other	 	 	 	2.18E-02	TP53	 
RABL6	 	other	 	-0.128	 	1.46E-02	BUB1B,CKS1B,FRMD4A,MYC,TP53	 
USP36	 	peptidase	 	 	 	2.18E-02	MYC	 
LRIG3	 	other	 	 	 	4.32E-02	ERBB2	 
SPDEF	 	transcription regulator	 	1.000	bias	9.23E-03	BIRC3,COL6A1,COL6A2,CXCL8,ITGA5	 
CPEB4	 	other	 	 	 	2.18E-02	BCL2L1	 
OSCAR	 	other	 	1.000	 	5.55E-03	CCL20,CXCL8,JAK2,TLR8	45 (7)
LGR5	 	transmembrane receptor	 	 	 	2.18E-02	BCL2L1	 
CLPTM1L	 	other	 	 	 	2.18E-02	BCL2L1	 
RNF126	 	enzyme	 	 	 	4.32E-02	BRCA1	 
P2RY6	 	G-protein coupled receptor	 	 	 	4.32E-02	CXCL8	 
CERK	 	kinase	 	 	 	8.37E-03	CCL20,CXCL8,JAK2,SLIT2	 
XRN2	1.000	enzyme	 	 	 	2.77E-03	CXCL8,MYC	 
OIP5-AS1	 	other	 	 	 	2.30E-02	mir-154,MYC	 
betulin	 	chemical - endogenous non-mammalian	 	 	 	2.77E-03	BCL2L1,TIMP1	 
SENP5	 	peptidase	 	 	 	4.32E-02	CXCL8	 
ZNF277	 	transcription regulator	 	 	 	4.32E-02	RPS2	 
Alpha catenin	 	group	 	 	 	7.87E-04	BCL2L1,DKK1,MYC	32 (5)
TCF4-CTNNβ	 	complex	 	 	 	2.18E-02	MYC	 
26s Proteasome	 	complex	 	-0.144	 	3.49E-02	BIRC3,CXCL8,MDM4,MYC,TP53,WBP2	 
Aldosterone-MR dimer	 	complex	 	 	 	4.32E-02	SGK1	 
CTNNβ-LEF1	 	complex	 	 	 	4.32E-02	MYC	 
Importin alpha	 	group	 	 	 	4.32E-02	TP53	 
xenon	 	chemical drug	 	 	 	4.32E-02	TP53	 
IL26	 	cytokine	 	 	 	9.29E-03	CCL20,CXCL8	 
AFAP1L2	 	other	 	 	 	4.32E-02	CXCL8	 
IFN type 1	 	group	 	 	 	2.05E-02	BCL2L1,CXCL8,PML	 
rimantadine	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
EIF4F	 	complex	 	 	 	4.32E-02	MYC	 
Par	 	group	 	 	 	4.32E-02	CCL20	 
fedratinib	 	chemical drug	 	 	 	4.32E-02	BCL2L1	 
Pka catalytic subunit	 	group	 	 	 	8.94E-03	BCL2L1,CGA,CXCL8	41 (7)
WDR5	 	transcription regulator	 	 	 	2.72E-02	ERBB2,TP53	 
RPL19	2.051	other	 	 	 	4.32E-02	CXCL8	 
TAF9	 	transcription regulator	 	 	 	4.55E-03	CXCL8,TP53	 
PRKCD	 	kinase	 	1.245	 	5.51E-03	BIRC3,CCL20,CEMIP,CXCL8,KIF2C,MYC,NAV2,RCAN1,TP53	68 (13)
navitoclax	 	chemical drug	 	 	 	4.32E-02	BCL2L1	 
ginkgetin	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	BCL2L1	 
Immunoglobulin	 	complex	 	1.007	 	6.69E-03	ALAS2,BCL2L1,BIRC3,C5AR1,CCL20,CXCL8,CXCR1,GMPR,IFNGR2,MAFF,MYC,TLR8	72 (14)
neurotropin	 	chemical drug	 	 	 	2.18E-02	SEMA3A	 
galiximab	 	biologic drug	 	 	 	2.18E-02	BCL2L1	 
pycnogenols	 	chemical drug	 	 	 	4.32E-02	CXCL8	 
xanthohumol	 	chemical drug	 	 	 	7.72E-03	BCL2L1,BIRC3,MYC	21 (6)
Hnp alpha	 	group	 	 	 	2.18E-02	CXCL8	 
Pik3r	 	group	 	 	 	4.55E-03	CXCL8,TP53	 
PARG	 	enzyme	 	 	 	4.66E-02	ITPR1,LGALS3BP	 
GLIPR1	 	other	 	 	 	2.18E-02	MYC	 
PPP1R1B	 	phosphatase	 	 	 	1.96E-03	BCL2L1,ERBB2,MYC	 
torin1	 	chemical reagent	 	 	 	5.20E-03	ACSS2,COX8A,EEF1B2,RPL19,RPL27A,RPL31,RPS2,RPS21,RPS29,RPS8	 
USP39	 	peptidase	 	 	 	2.18E-02	MDM4	 
STAT3	 	transcription regulator	 	-0.335	 	1.33E-02	ALDH1A1,BCL2L1,C5AR1,CCL20,CXCL8,CXCR1,DKK1,H2AC18/H2AC19,IGFBP1,JAK2,MYC,PML,SGK1,SMAD7,TIMP1,TP53	 
E2F1	1.000	transcription regulator	 	-1.223	 	1.95E-02	ADIPOR2,BCL2L1,BRCA1,CD9,ERH,H2AC18/H2AC19,H2AC8,H4C8,HELLS,JPT1,MYC,PSAT1,SMARCA5,TP53	 
IER3	 	other	 	 	 	6.73E-03	BCL2L1,BIRC3	 
CAVIN1	 	transcription regulator	 	 	 	2.18E-02	MYC	 
NCOR2	 	transcription regulator	 	 	 	3.21E-02	BIRC3,CXCL8,MYC	 
TNFSF13	 	cytokine	 	 	 	1.17E-02	BCL2L1,MYC,TP53	 
TSLP	 	cytokine	 	 	 	2.05E-02	CXCL8,MYC,TIMP1	 
ACIN1	 	enzyme	 	 	 	4.32E-02	BCL2L1	 
PRKCE	 	kinase	 	-1.539	 	2.88E-03	BCL2L1,BIRC3,CXCL8,DLG4,MYC	78 (13)
TFAP2A	 	transcription regulator	 	-0.346	 	6.72E-03	BCL2L1,BIRC3,CGA,ERBB2,TIMP1,XRN1	 
PRMT5	 	enzyme	 	 	 	7.72E-03	MYC,SLC45A3,SMAD7	6 (2)
STAT1	 	transcription regulator	 	0.083	bias	2.47E-02	ALAS2,BCL2L1,CTSS,CXCL8,LY96,MYC,SMAD7,TIGD6,TLR8	 
IGF1	1.105	growth factor	 	-1.756	 	2.97E-04	ACSS2,BCL2L1,BGN,BIRC3,BRCA1,CXCL8,IFNGR2,IGFBP1,MSTN,MYC,SFN,SQLE,TP53,WTAP	87 (15)
PF-4929113	 	chemical drug	 	 	 	2.18E-02	TP53	 
cercosporin	 	chemical - endogenous non-mammalian	 	 	 	1.55E-02	DKK1,MYC	 
GPC3	1.000	other	 	 	 	4.32E-02	MYC	 
T-2 toxin	 	chemical toxicant	 	 	 	6.73E-03	BCL2L1,TP53	 
AURKA	-1.145	kinase	 	 	 	3.87E-03	BCL2L1,MYC,TP53	 
HMGCS2	-1.279	enzyme	 	 	 	4.32E-02	CIDEC	 
THPO	 	cytokine	 	 	 	4.96E-02	BCL2L1,JAK2,MYC	 
HSPB1	 	other	 	 	 	4.66E-02	CXCL8,TP53	 
MUC13	 	other	 	 	 	2.77E-03	ERBB2,TP53	 
PROCR	 	other	 	 	 	2.30E-02	MYC,ROCK2	 
HLX	 	transcription regulator	 	 	 	2.05E-02	CTSS,CXCL8,MYC	 
YWHAG	 	other	 	 	 	2.18E-02	TP53	 
DAPK1	 	kinase	 	 	 	4.32E-02	CXCL8	 
TREM1	 	transmembrane receptor	 	0.953	 	1.60E-02	CCL20,CXCL8,EPM2AIP1,HSD3B7,MAFF,NEDD4L,PLAC8,RCAN1,SPINK1	 
SNCAIP	 	transcription regulator	 	 	 	4.32E-02	TP53	 
PLSCR1	 	enzyme	 	 	 	6.73E-03	ITPR1,MYC	 
CSDE1	 	enzyme	 	 	 	4.32E-02	MYC	 
TNFSF14	 	cytokine	 	 	 	1.32E-02	BCL2L1,BIRC3,CCL20	 
GPLD1	 	enzyme	 	 	 	2.18E-02	LGALS3BP	 
EIF4EBP1	 	translation regulator	 	 	 	2.72E-02	DLG4,MYC	 
TNFSF12	 	cytokine	 	 	 	1.32E-02	BCL2L1,CXCL8,TNFRSF12A	 
ELL	 	transcription regulator	 	 	 	4.32E-02	MYC	 
GNA14	 	enzyme	 	 	 	4.32E-02	CXCL8	 
MDM2	 	transcription regulator	 	-1.165	 	1.93E-03	CXCL8,H2AC18/H2AC19,MDM4,SFN,TIMP1,TP53	34 (5)
F2R	 	G-protein coupled receptor	 	1.671	 	1.13E-02	CXCL8,IGFBP1,IGFBP7,LAMB1,LDHB,TP53	 
