© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
ETV1	 	transcription regulator	Activated	2.000	bias	1.18E-02	E2F1,PLAUR,TMPRSS2,VIM	 
BCL2L1	1.230	other	Activated	2.000	 	1.08E-01	BIRC2,CD44,FN1,THBS1	 
TNF	 	cytokine	Activated	2.695	 	1.76E-01	ABCC2,ACACA,AKAP12,APAF1,APOL1,ARHGAP18,ATP2B4,BIRC2,BTRC,CARD6,CD28,CD44,CIDEC,CPT1A,CRP,CRYAB,CXCL10,CXCL16,CYP11A1,CYP19A1,CYP7A1,DDX5,E2F1,EHF,FABP1,FN1,GBP4,H19,HPGD,IFNAR2,IGFBP1,IL22,JAK1,JUN,KL,LDHA,LYVE1,MERTK,PAK2,PCAT1,PIGR,PIK3CB,PLA1A,PLAUR,PPP2R1B,RGS9,SAMD9,SERPINB1,SGK1,SLC16A5,SMURF1,THBS1,TM4SF1,TRAF3,TXNIP,UBD,USP2,VEGFA,WTAP,ZNF750	 
GNA12	 	enzyme	Activated	2.236	bias	1.13E-02	JAK1,PAK2,PIK3CB,RRAS2,VEGFA,VIM	 
SMAD4	 	transcription regulator	Activated	2.392	 	1.83E-02	APOA4,APOB,CITED2,FN1,ID1,ID2,NUP153,PAX6,SGK1,TBX3,THBS1,VEGFA,VIM	 
SRC	 	kinase	Activated	2.353	bias	1.17E-02	FN1,ID1,JUN,PGK1,PLAUR,VEGFA,VIM	 
FGF2	 	growth factor	Activated	2.003	 	1.47E-01	CIDEC,CRYAB,CYP11A1,FN1,ID2,JUN,LYVE1,PLAUR,SLC20A1,SPRY4,THBS1,VEGFA,VIM	 
TGFB1	 	growth factor	Activated	2.696	 	4.74E-02	ANKLE2,ANKRD1,APOB,ARNT2,ARPC2,CAPRIN1,CCT2,CCT5,CD44,CHD4,CITED2,CRP,CTLA4,CTPS1,CYP7A1,DAB2,DDX5,DKC1,DNMT3B,E2F1,EIF4A3,FAM50A,FAM53B,FN1,FUS,GGA3,GIN1,HEXIM1,HLTF,HPGD,ID1,ID2,IL22,JUN,LDHA,let-7,LYVE1,MBOAT2,mir-154,mir-506,NIN,NRBP1,NUP153,PDE4D,PLA1A,PLAUR,PNO1,PRKCA,RUNX3,SGK1,SLC35A1,SMURF1,SRSF5,STRAP,TBC1D1,TBX3,THBS1,TXNIP,UBE4B,VEGFA,VIM,VPS11,WNT11	 
IFNG	 	cytokine	Activated	2.518	 	1.35E-01	APOL1,C4A/C4B,CD44,CEACAM1,CXCL10,CXCL16,CYP2E1,DDX5,DUOXA2,E2F1,EGLN3,EHF,FKBP1A,FN1,FXN,GART,ID1,IRF8,JUN,MED15,MERTK,mir-506,MORC2,MTMR3,PAM,PCAT1,PIGR,PRKCA,PTPRB,RRP7BP,SAMD9,SMURF1,STX11,THBS1,TXNIP,UBD,UBE2D1,VEGFA,VIM	 
HGF	 	growth factor	Activated	2.307	bias	1.33E-03	ABCB4,AKAP12,ANGPT4,APAF1,BIRC2,CD44,CHIA,CITED2,CRYAB,DHPS,DKC1,EHF,FAM50A,FN1,ID1,IRF8,ITPR3,LDHA,LYVE1,MERTK,PGK1,PIK3CB,PLAUR,RFC2,SGK1,SLC20A1,STK10,THBS1,TNFRSF10C,TUBGCP3,VEGFA,VIM	132 (6)
OSM	 	cytokine	Activated	2.049	 	8.80E-02	ATP2B4,BRD8,CLIP1,CRP,CXCL10,CYP19A1,ECM2,FETUB,FN1,GART,ID1,ID2,IL13RA1,JUN,PAK2,PGK1,PIGR,RORA,SERPINB1,SLC16A1,SON,STX11,TM4SF1,UAP1,VEGFA,VIM,VPS11	 
NEDD9	 	other	Activated	2.400	bias	3.85E-03	FABP1,PCK1,PGK1,PLIN2,TXNIP,VIM	 
ESR1	 	ligand-dependent nuclear receptor	Activated	2.149	 	2.41E-03	ARHGAP18,ARPC5L,BAZ2A,BCR,CDC42SE2,CENPN,CEP70,CHFR,CLSPN,COG5,CYP19A1,CYP7A1,DAB2,DIAPH1,E2F1,EEA1,EP300,FIS1,GIT2,GULP1,H19,HNRNPD,ICA1,ID1,JAK1,JAK2,JUN,KAT6B,LAMB1,LAPTM5,MAP2K5,mir-19,NCOA1,NF2,NSD1,NUP153,PAK1,PAK2,PLAUR,PLIN2,PRKACB,RBL2,RHEB,RIT1,RRBP1,SAMD9,SEC14L1,SETD2,SGK1,SLC16A1,SLC35A1,SMURF1,SNORA72,SON,SPRY4,SPTAN1,SPTBN1,STAT5B,TIMM13,TM4SF1,TTC9,TTLL11,VEGFA,VIM,VPS11,WNK1,WNT11,WTAP	 
GW7647	 	chemical drug	Activated	2.213	bias	3.60E-04	CPT1A,EP300,FABP1,IGFBP1,PLIN2	16 (2)
tacrolimus	 	chemical drug	Activated	2.219	 	4.41E-01	CDK13,CXCL10,IL22,PLIN2,PRKACB	 
deferoxamine	 	chemical drug	Activated	2.932	bias	4.55E-02	ANGPT4,CITED2,EGLN3,JUN,LDHA,NFIL3,PGK1,PLAUR,PRKCA,SPRY4,UBE2D1,VEGFA	 
rifampin	 	chemical drug	Activated	2.271	bias	5.17E-03	ABCB4,ABCC2,CEP70,CRYAB,CXCL10,CYP2B6,CYP2B7P,CYP2C8,CYP2C9,CYP2E1,CYP4A11,CYP7A1,SERPINB1	15 (2)
oxaliplatin	 	chemical drug	Activated	2.216	 	3.24E-02	let-7,mir-28,mir-30 (includes others),TNFRSF10C,UGGT1,VIM	 
methotrexate	 	chemical drug	Activated	2.891	 	2.45E-02	ACADVL,CD28,CPT1A,CYP19A1,CYP4A11,FABP1,HADHA,HADHB,IL22,PCK1,SLC27A2,THBS1	 
troglitazone	 	chemical drug	Activated	2.428	 	7.89E-02	BTRC,CEP70,CRYAB,CXCL10,CYP19A1,CYP2B6,CYP2B7P,CYP2C9,E2F1,FN1,JUN,PIK3CB,PLIN2,VEGFA	 
bilirubin	 	chemical - endogenous mammalian	Activated	2.000	 	2.77E-03	ABCC2,CYP2B6,CYP2C9,KL	8 (2)
phenobarbital	 	chemical drug	Activated	2.183	bias	8.38E-03	ABCB4,ABCC2,CYP2B6,CYP2C8,CYP2C9	8 (3)
nicotine	 	chemical drug	Activated	2.405	 	1.77E-01	CD44,CYP2B6,CYP2E1,DNM1,FN1,ID1,JAK1,PLAUR	 
L-triiodothyronine	 	chemical - endogenous mammalian	Activated	2.753	 	1.09E-01	APOB,C4A/C4B,CPT1A,CYP11A1,CYP7A1,E2F1,FABP1,PCK1	 
D-glucose	 	chemical - endogenous mammalian	Activated	2.147	 	1.35E-01	ACACA,ACOX1,CYP7A1,EP300,FAIM,FN1,GALNT2,GART,ID1,JUN,LDHA,mir-154,PCK1,PGK1,PLAUR,PRKCB,SGK1,THBS1,TXNIP,VEGFA	 
metribolone	 	chemical reagent	Activated	2.634	bias	5.57E-03	ACACA,AKAP12,ATP5PD,CCT2,CENPN,CRYAB,EP300,HMGCS2,KMT5A,LDHA,let-7,MDH1,MERTK,mir-19,NDUFA6,PAX2,PDE4D,PGK1,PIAS3,PIGR,PRKACB,SRD5A3,SUPV3L1,THBS1,TM4SF1,TMPRSS2,TXNIP,UAP1,VEGFA	114 (4)
sunitinib	 	chemical drug	Inhibited	-2.000	 	7.68E-02	CD44,FN1,LAMB1,LAMC1	 
OGA	-1.100	enzyme	Inhibited	-2.982	 	7.33E-03	CD99L2,CEACAM1,CYP2B6,DAB2,FLNB,FN1,GPT2,GTF2F2,HIVEP2,JAK1,JUN,LAMB1,NDUFA6,PDK1,PIAS3,PLIN2,THBS1,VIM,WNT11	 
miR-291a-3p (and other miRNAs w/seed AAGUGCU)	 	mature microRNA	Inhibited	-2.191	bias	4.52E-04	BAZ1A,CD44,CDK11B,E2F1,LUC7L2,NIN,PRKACB,RNF149,SEPTIN2,STX11,TMEM14A,VEGFA	 
mir-122	2.480	microRNA	Inhibited	-2.261	bias	2.45E-02	CUX1,CYP2C9,CYP7A1,FKBP1A,GTF3C2,LAMC1,SEPTIN2,VIM	 
CST5	 	other	Inhibited	-2.548	 	1.89E-02	AGO1,AKAP12,AP3D1,CD44,DCAF1,DKC1,GALNT5,GNL3,INTS1,ITPR3,LAMC1,LOC102724159/PWP2,NF2,PIP4K2A,PRKACB,RRS1,SUPV3L1,VARS1,VIM	 
mir-10	 	microRNA	Inhibited	-2.946	bias	9.20E-03	AGO2,APAF1,BTRC,CD44,E2F1,let-7,TBC1D1,TDG,VEGFA	99 (4)
pexidartinib	 	chemical drug	Inhibited	-2.414	 	1.58E-01	IL22,LOC644656,mir-548,SNORA71C,SNORD72,SNX16	 
RBPJ	 	transcription regulator	Inhibited	-2.000	bias	1.02E-02	CD44,CRP,FGF11,JUN,NFATC3,RUNX3	 
sirolimus	 	chemical drug	Inhibited	-2.224	 	8.43E-02	ACADVL,CTLA4,DNAJC2,E2F1,FN1,FUS,HMGCS2,IGFBP1,KL,LDHA,let-7,mir-154,mir-19,mir-30 (includes others),mir-506,NDUFA6,PGK1,PLAUR,PRKCA,SNRPF,VEGFA,VTRNA2-1	 
trans-hydroxytamoxifen	 	chemical drug	Inhibited	-2.339	 	2.96E-01	ARNT2,CITED2,FN1,LAMB1,LDHA,MEIS1,PDK1,TM4SF1,TTC9	 
Am 580	 	chemical toxicant	Inhibited	-2.000	 	1.02E-01	CPT1A,CYP2E1,CYP4A11,PLIN2	 
molybdenum disulfide	 	chemical reagent	Inhibited	-2.449	 	5.25E-01	CRYAB,CTPS1,FN1,FZD7,ITPR3,THBS1	 
platelet activating factor	 	chemical - endogenous mammalian	 	0.988	bias	4.08E-02	FN1,PLAUR,THBS1,VEGFA,VIM	 
15-deoxy-delta-12,14 -PGJ 2	 	chemical - endogenous mammalian	 	0.197	 	4.59E-02	BIRC2,CXCL10,CYP19A1,E2F1,EHF,FN1,JUN,RORA,TMPRSS2,VEGFA	 
cyclic AMP	 	chemical - endogenous mammalian	 	1.162	bias	3.45E-02	BLZF1,CRYAB,CTLA4,CYP11A1,CYP19A1,E2F1,FN1,IGFBP1,PCK1,PDE4D,RPS6KA5,TXNIP	 
sangivamycin	 	chemical - endogenous non-mammalian	 	 	 	4.14E-02	JUN	 
isobutylmethylxanthine	 	chemical toxicant	 	1.709	 	7.30E-03	ACOX1,CD44,CYP11A1,JUN,MERTK,PDE4D	 
pirinixic acid	 	chemical toxicant	 	1.998	 	1.47E-05	ACOX1,CPT1A,CREB3L3,CRP,CYP2B6,CYP2C8,CYP2C9,CYP4A11,CYP7A1,FABP1,HMGCS2,ID2,PLIN2,VEGFA	28 (5)
5-fluorouracil	 	chemical drug	 	-1.715	 	4.05E-02	AHSA1,BIRC2,E2F1,FKBP1A,HADHA,JUN,LDHA,MDH1,mir-19,mir-28,mir-30 (includes others),PGK1,PSMD2,RPS27L,SERPINB1,SNRPF,STOM,THBS1,TXNIP,UBD	 
glycerol	 	chemical - endogenous mammalian	 	 	 	4.14E-02	APOB	 
pregna-4,17-diene-3,16-dione	 	chemical - endogenous non-mammalian	 	 	 	3.13E-02	BIRC2,CYP7A1,VEGFA	 
taurolithocholate-3-sulfate	 	chemical - endogenous mammalian	 	 	 	4.14E-02	ABCC2	 
chenodeoxycholic acid	 	chemical - endogenous mammalian	 	1.474	 	2.56E-02	ABCB4,ABCC2,APOB,CPT1A,CYP7A1,HPGD,SLCO1B3	 
pregnenolone carbonitrile	 	chemical drug	 	 	 	1.58E-02	CYP2B6,SLCO1B3	 
Collagen type VII	 	complex	 	 	 	4.14E-02	SLCO1B3	 
globotriaosylceramide	 	chemical - endogenous mammalian	 	 	 	1.58E-02	CD44,EEA1	 
GTP	 	chemical - endogenous mammalian	 	 	 	4.14E-02	GNL3	 
2'-adenylic acid	 	chemical - endogenous mammalian	 	 	 	4.14E-02	TXNIP	 
8-bromo-cAMP	 	chemical reagent	 	1.248	bias	1.31E-02	ACOX1,CYP11A1,CYP19A1,HPGD,IGFBP1,PDE4B,PDE4D,SGK1,VEGFA	 
bucladesine	 	chemical toxicant	 	-0.553	 	5.00E-02	CD44,CTLA4,CXCL10,CYP11A1,CYP19A1,CYP7A1,H19,JUN,LPCAT1,PDE4B	 
Cop9 Signalosome	 	complex	 	 	 	4.14E-02	JUN	 
BMS-214662	 	chemical drug	 	 	 	1.72E-03	E2F1,PRKCB	 
cortodoxone	 	chemical - endogenous mammalian	 	 	 	4.14E-02	FN1	 
EPHB1	 	kinase	 	 	 	4.14E-02	PCK1	 
bevacizumab	 	biologic drug	 	 	 	2.65E-02	FN1,VEGFA,VIM	 
alpha-amanitin	 	chemical toxicant	 	 	 	2.30E-02	let-7,mir-30 (includes others)	 
clofazimine	 	chemical drug	 	 	 	4.14E-02	PLIN2	 
mecarzole	 	chemical drug	 	 	 	4.14E-02	CYP19A1	 
(+)-catechin	 	chemical drug	 	 	 	1.18E-02	CYP2E1,JUN,SLC16A1	 
SOX2-OT	 	other	 	 	 	1.18E-02	CD44,mir-122,VIM	 
MEG3	 	other	 	 	 	1.83E-02	FN1,JUN,VIM	 
2-amino-5-azotoluene	 	chemical toxicant	 	 	 	2.19E-03	ABCC2,CYP2B6,CYP2C8	 
Notch	 	group	 	0.958	bias	3.24E-02	ANKRD1,ID1,ID2,RUNX3,SMURF1,VEGFA	 
ERK1/2	 	group	 	1.128	bias	1.97E-02	BIRC2,CD44,CXCL10,CYP7A1,FN1,H19,HPGD,ID1,JUN,PLAUR,POLB,SGK1,SPRY4,VEGFA,VNN1	 
IRS	 	group	 	 	 	4.14E-02	VEGFA	 
Pka	 	complex	 	0.391	bias	4.01E-02	CD44,CYP11A1,E2F1,JUN,MOS,PCK1	 
IL1	 	group	 	0.565	bias	4.74E-02	ACACA,CEACAM1,CPT1A,CRP,CXCL10,CYP2B6,CYP7A1,FN1,H19,IGFBP1,IL22,JUN,LAMB1,NCOA1,NRP2,PIGR,VEGFA	 
Histone h3	 	group	 	 	 	4.08E-02	ATF7IP,CEACAM1,CHFR,CXCL10,CYP19A1,HBE1,ID1,IGF2R,JUN,let-7,MEIS1,NDUFAF5,PNO1,SRRM2,STOM,TMPRSS2,VEGFA	 
TFIIF	 	complex	 	 	 	4.14E-02	POLB	 
Stat3-Stat3	 	complex	 	0.246	bias	7.27E-03	CRP,IL22,JUN,RORA,VEGFA	 
Ncoa-Nr1i3-Rxra	 	complex	 	1.997	bias	2.77E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9	 
Adaptor protein 2	 	complex	 	 	 	3.14E-02	CD28,PIGR	 
Ncoa-Nr1i2-Rxra	 	complex	 	1.997	bias	1.55E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9	 
aurapten	 	chemical - endogenous non-mammalian	 	 	 	9.74E-03	ACOX1,CPT1A	16 (2)
RAR ligand-RARα-Retinoic acid-RXRα	 	complex	 	 	 	9.74E-03	ABCC2,SLCO1B3	 
PPAR ligand-PPAR-Retinoic acid-RXRα	 	complex	 	 	 	4.14E-02	CYP4A11	 
PXR ligand-PXR-Retinoic acid-RXRα	 	complex	 	1.709	bias	1.79E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9,CYP7A1,SLCO1B3	 
FXR ligand-FXR-Retinoic acid-RXRα	 	complex	 	0.192	bias	1.85E-02	ABCB4,ABCC2,FETUB,SLCO1B3	 
CAR ligand-CAR-Retinoic acid-RXRα	 	complex	 	1.982	bias	3.58E-03	ABCC2,CYP2B6,CYP2C8,CYP2C9	 
Rxr	 	group	 	 	 	2.18E-02	ABCC2,CPT1A,CYP2B6,CYP2C9,CYP7A1,SLCO1B3	 
menthol	 	chemical drug	 	 	 	4.14E-02	CYP2C9	 
G-Actin	 	group	 	 	 	4.14E-02	JUN	 
LINC00842	 	other	 	 	 	2.30E-02	FN1,VIM	 
bovine testicular hyaluronidase	 	biologic drug	 	 	 	4.14E-02	CD44	 
dietary fat derivative	 	chemical drug	 	 	 	4.14E-02	APOB	 
DPPA3	 	other	 	 	 	2.30E-02	PAX6,SOX17	 
KMT5C	 	enzyme	 	 	 	4.14E-02	HBE1	 
cyanidin 3-O-glucoside	 	chemical - endogenous non-mammalian	 	 	 	4.14E-02	CYP7A1	 
PNPLA2	 	enzyme	 	 	 	2.65E-02	CPT1A,EP300,SLC16A1	 
TET1	 	enzyme	 	 	 	2.30E-02	MEIS1,PAX6	 
SENP7	 	peptidase	 	 	 	3.14E-02	BIRC2,VIM	 
CREB3L3	2.010	transcription regulator	 	 	 	3.40E-03	APOA4,CRP,CYP7A1	 
SQSTM1	 	transcription regulator	 	 	 	3.14E-02	CXCL10,EGLN3	 
NANOG	 	transcription regulator	 	1.342	 	2.57E-02	E2F1,FUS,IGFBP1,MEIS1,NKX2-2,NPIPA5 (includes others),PAX6,SOX17,TBX3	 
LIN28A	 	other	 	 	 	2.65E-02	FUS,let-7,TIA1	 
MRTFB	 	transcription regulator	 	1.633	bias	2.74E-02	ANKRD1,DAB2,EPPK1,HPGD,ID1,SGK1,THBS1	 
indican	 	chemical - endogenous mammalian	 	 	 	1.18E-02	CITED2,EGLN3,KL,THBS1	 
FENDRR	 	other	 	 	 	4.14E-02	FN1	 
TET3	 	enzyme	 	 	 	4.14E-02	PAX6	 
GRSF1	 	other	 	 	 	4.14E-02	AGO2	 
KLF17	 	transcription regulator	 	 	 	2.30E-02	FN1,VIM	 
SIRT3	 	enzyme	 	-0.117	 	1.55E-03	CYP11A1,PDK1,SUCNR1,VEGFA	 
PHF8	 	enzyme	 	 	 	4.07E-02	E2F1,ID1	 
SPRED2	 	cytokine	 	 	 	4.14E-02	VIM	 
H1-3	 	other	 	 	 	4.14E-02	H19	 
ADGRG1	 	G-protein coupled receptor	 	 	 	4.14E-02	VEGFA	 
ZNF512B	 	transcription regulator	 	 	 	2.30E-02	E2F1,mir-19	 
PRMT6	 	enzyme	 	 	 	3.14E-02	NIN,THBS1	 
CHMP3	 	other	 	 	 	4.14E-02	IGF2R	 
TCF/LEF	 	group	 	 	 	1.49E-02	FN1,JUN,VIM	 
KMT5B	 	enzyme	 	 	 	2.30E-02	IGFBP1,SGK1	 
CRTC2	 	other	 	 	 	1.83E-02	BACH2,CYP19A1,SMARCA2	 
MLLT11	 	other	 	 	 	4.14E-02	CD44	 
CTDSP1	 	phosphatase	 	 	 	3.14E-02	E2F1,VIM	 
BMPR2	-1.140	kinase	 	 	 	1.49E-02	FN1,ID1,ID2	 
PLXND1	 	transmembrane receptor	 	 	 	4.14E-02	VEGFA	 
DSC2	1.810	other	 	 	 	4.14E-02	CD44	 
PCGEM1	 	other	 	1.067	bias	5.04E-03	ACACA,ACOX1,CYP11A1,LDHA,PGK1,TALDO1	 
KDM4B	 	enzyme	 	 	 	2.30E-02	ATG16L1,VIM	 
MLXIP	 	transcription regulator	 	 	 	4.14E-02	TXNIP	 
PHLPP2	 	enzyme	 	 	 	4.07E-02	PRKCA,PRKCB	 
ZMYND10	 	other	 	 	 	2.30E-02	THBS1,VEGFA	 
KDM6B	 	enzyme	 	 	 	1.49E-02	FN1,let-7,VIM	 
ZNF382	 	transcription regulator	 	 	 	4.07E-02	ID1,STAT5B	 
FANK1	 	transcription regulator	 	 	 	4.14E-02	JUN	 
MALAT1	1.800	other	 	 	 	3.14E-02	VEGFA,VIM	 
WBP2	1.070	transcription regulator	 	1.912	 	3.14E-01	ALPK2,APOB,JUN,MFSD8,PEG10,SEPTIN2,SLC27A2	 
SMAD1/5	 	group	 	 	 	2.19E-03	ID1,ID2,PLAUR	 
PACS1	 	other	 	 	 	4.14E-02	IGF2R	 
tandutinib	 	chemical drug	 	 	 	4.14E-02	ID1	 
WDR5	 	transcription regulator	 	 	 	1.18E-02	IGF2R,TMPRSS2,VIM	 
AMH	 	growth factor	 	 	 	1.18E-02	CEACAM1,E2F1,RBL2	 
panobinostat	 	chemical drug	 	-0.277	 	1.95E-02	CITED2,CRYAB,CXCL10,CYP19A1,VIM	 
LBR	 	enzyme	 	 	 	4.14E-02	IL22	 
UCN3	 	other	 	 	 	4.14E-02	VEGFA	 
CCND1	 	transcription regulator	 	-1.964	 	1.00E00	CENPN,E2F1,FZD7,GAS2L3,KIF4A,LINC00467,STOM,TALDO1,TMPRSS2,UAP1	 
MAP2K4	 	kinase	 	 	 	3.64E-02	CD44,CXCL10,JUN	 
MAX	 	transcription regulator	 	 	 	1.07E-02	BCR,DKC1,E2F1,ID1,ID2,PDK1,TXNIP	 
IER3	 	other	 	 	 	2.30E-02	BIRC2,PIK3CB	 
RNA polymerase iii	 	complex	 	 	 	1.49E-02	mir-154,mir-3130,mir-506	 
ALOX12	 	enzyme	 	 	 	4.14E-02	VEGFA	 
SOX2	 	transcription regulator	 	1.709	 	1.59E-02	CD44,DNMT3B,MEIS1,mir-30 (includes others),NKX2-2,PAX6,SOX17,TBX3,VIM	 
CSRP3	 	other	 	 	 	4.14E-02	TXNIP	 
PRKAA1	 	kinase	 	0.000	 	3.01E-02	CYP2B6,EGLN3,FN1,ID2,MAGEC2,PRKACB	 
USF1	 	transcription regulator	 	1.000	bias	1.68E-02	CEACAM1,CYP19A1,IGF2R,PIGR,PRKG1,TXNIP	 
LEF1	 	transcription regulator	 	 	 	4.08E-02	CD44,CSF3R,FN1,SGK1,VIM	 
JUNB	 	transcription regulator	 	1.376	bias	4.29E-02	CD44,CYP19A1,FN1,HPGD,PLAUR,TBX3	 
PPARG	 	ligand-dependent nuclear receptor	 	1.887	 	3.45E-02	ACACA,ACOX1,ACSL5,APAF1,CPT1A,CYP19A1,FABP1,FN1,IGFBP1,PLIN2,STAT5B,VEGFA	 
NAMPT	 	cytokine	 	0.537	 	2.39E-02	CXCL10,FN1,ID1,JUN,PEG10	 
HIF1AN	 	enzyme	 	 	 	1.18E-02	EGLN3,LDHA,VEGFA	 
PPP2CB	 	phosphatase	 	 	 	4.14E-02	CLSPN	 
PPARD	 	ligand-dependent nuclear receptor	 	1.967	bias	3.34E-03	ACOX1,FABP1,FN1,IGFBP1,PLIN2,VEGFA	17 (2)
FAF1	2.040	other	 	 	 	4.14E-02	VIM	 
NOTCH1	 	transcription regulator	 	1.969	 	2.43E-01	ANKRD1,BIRC2,CD44,ID1,LYVE1,RUNX3,VEGFA	 
TNFAIP3	 	enzyme	 	 	 	2.65E-02	CHUK,CXCL10,TRAF3	 
LOXL2	 	enzyme	 	 	 	4.07E-02	FN1,VIM	 
SPZ1	 	transcription regulator	 	1.165	bias	8.65E-04	CD44,E2F1,FN1,VEGFA,VIM	 
IL24	 	cytokine	 	1.982	 	1.15E-01	APAF1,EIF2A,FAF1,LIG4	 
PJA1	 	enzyme	 	 	 	4.14E-02	SPTBN1	 
MED14	 	transcription regulator	 	 	 	2.30E-02	IGFBP1,IRF8	 
ACVR2A	 	kinase	 	 	 	3.14E-02	ID1,ID2	 
ID1	2.520	transcription regulator	 	0.398	 	1.40E-02	CEACAM1,E2F1,FN1,THBS1,VIM	 
CEBPA	 	transcription regulator	 	1.262	bias	4.24E-03	ACACA,AKAP12,APOB,CSF3R,CYP19A1,CYP2B6,CYP2C9,CYP7A1,E2F1,HPGD,ID1,ID2,NFIL3,PCK1,SERPINB1,TBXAS1	 
TFAP4	 	transcription regulator	 	0.651	 	1.75E-02	CD44,FN1,ID1,RPS6KA5,VIM	 
GR 82334	 	biologic drug	 	 	 	4.14E-02	CXCL10	 
PHLPP1	 	enzyme	 	 	 	2.30E-02	PRKCA,PRKCB	 
MTOR	 	kinase	 	 	 	3.42E-03	ACACA,ACOX1,CITED2,FAF1,FKBP1A,FN1,HADHA,HADHB,IL22,JAK2,NDUFA6,NSUN2,RHEB,TMPRSS2,TNFRSF10C,VEGFA	 
SMAD7	-1.290	transcription regulator	 	1.987	 	1.68E-01	BIRC2,CITED2,CRP,DNMT3B	 
MMP9	 	peptidase	 	 	 	3.05E-02	CD44,HPGD,VEGFA,VIM	 
BCL2L12	 	other	 	 	 	4.14E-02	CRYAB	 
ERCC4	 	enzyme	 	 	 	5.01E-03	EP300,FN1	 
ASF1B	 	other	 	 	 	4.14E-02	ASF1A	 
UBE2K	 	transcription regulator	 	 	 	4.14E-02	UBD	 
PRKCA	-2.080	kinase	 	-0.293	 	1.76E-02	ARPC2,CXCL10,DIAPH1,FN1,ID1,JUN,PEG10,VEGFA	 
MIR320	 	group	 	 	 	4.07E-02	E2F1,FN1	 
