© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
PXR/RXR Activation	1.37E00	6.56E-02	NaN	ALDH1A1,GSTM2,IGFBP1,RXRA	
Epoxysqualene Biosynthesis	1.37E00	5E-01	NaN	SQLE	
CCR3 Signaling in Eosinophils	1.37E00	5.08E-02	NaN	GNG11,ITPR1,ITPR2,PAK3,RASD2,ROCK2	
NRF2-mediated Oxidative Stress Response	1.33E00	4.35E-02	NaN	DNAJC15,DNAJC21,GSTM2,GSTM4,MAFF,MAFK,MAP3K1,RASD2	
Aldosterone Signaling in Epithelial Cells	1.31E00	4.58E-02	NaN	DNAJC15,DNAJC21,HSPD1,ITPR1,ITPR2,SGK1,SMO	
Estrogen Biosynthesis	1.29E00	7.69E-02	NaN	CYP2D6,CYP2E1,CYP4B1	
Xenobiotic Metabolism Signaling	1.25E00	3.85E-02	NaN	ALDH1A1,GSTM2,GSTM4,MAP3K1,MAP3K13,PTPA,RASD2,RXRA,UGT2B10,UGT2B11	
Amyotrophic Lateral Sclerosis Signaling	1.24E00	5.21E-02	-0.447	BCL2L1,BIRC3,GRIN2D,PDGFC,TP53	
SAPK/JNK Signaling	1.24E00	5.21E-02	1.000	GNG11,MAP3K1,MAP3K13,RASD2,TP53	
VEGF Signaling	1.23E00	5.15E-02	-2.000	BCL2L1,PDGFC,RASD2,ROCK2,SFN	
Agrin Interactions at Neuromuscular Junction	1.23E00	5.88E-02	NaN	ERBB2,LAMB1,PAK3,RASD2	
Cardiac Hypertrophy Signaling (Enhanced)	1.22E00	3.32E-02	-0.775	CXCL8,CXCR1,GNG11,IL5RA,ITGA5,ITPR1,ITPR2,JAK2,MAP3K1,MAP3K13,MKNK2,MYC,RASD2,RCAN1,ROCK2,SMO	
Glioblastoma Multiforme Signaling	1.21E00	4.32E-02	-1.633	ITPR1,ITPR2,MYC,PDGFC,RASD2,SMO,TP53	
GADD45 Signaling	1.2E00	1.05E-01	NaN	BRCA1,TP53	
Ethanol Degradation IV	1.2E00	1.05E-01	NaN	ACSS2,ALDH1A1	
Iron homeostasis signaling pathway	1.2E00	4.62E-02	NaN	ABCB10,ALAS2,JAK2,LYRM4,SLC48A1,TWSG1	
ERK/MAPK Signaling	1.2E00	4.08E-02	-1.134	ELF1,ITGA5,MKNK2,MYC,PAK3,PTPA,RASD2,VRK2	
S-adenosyl-L-methionine Biosynthesis	1.2E00	3.33E-01	NaN	MAT1A	
TREM1 Signaling	1.19E00	5.71E-02	1.000	CXCL8,ITGA5,JAK2,TLR8	
Glucocorticoid Receptor Signaling	1.19E00	3.33E-02	NaN	BCL2L1,BRCA1,CXCL8,CXCR1,IFNA16,IL5RA,JAK2,KRT222,MAP3K1,MYC,PC,RASD2,SGK1,TAF15,TAF2	
Oncostatin M Signaling	1.18E00	6.98E-02	NaN	JAK2,OSMR,RASD2	
Semaphorin Neuronal Repulsive Signaling Pathway	1.18E00	4.55E-02	-0.816	ERBB2,ITGA5,PAK3,ROCK2,SEMA3A,TP53	
Xenobiotic Metabolism CAR Signaling Pathway	1.17E00	4.24E-02	-1.890	ALDH1A1,GSTM2,GSTM4,PTPA,RXRA,UGT2B10,UGT2B11	
ERK5 Signaling	1.17E00	5.63E-02	NaN	MYC,RASD2,SFN,SGK1	
NER Pathway	1.17E00	4.95E-02	1.342	ERCC8,H4C3,H4C8,POLD2,POLD3	
Senescence Pathway	1.17E00	3.72E-02	-0.632	ASXL1,CXCL8,DMTF1,ELF1,ITPR2,PML,PTPA,RASD2,SMAD7,TP53	
MSP-RON Signaling In Cancer Cells Pathway	1.16E00	4.51E-02	-2.449	ELF1,MYC,PDGFC,RASD2,SFN,ST14	
mTOR Signaling	1.16E00	4E-02	NaN	EIF4A1,PDGFC,PTPA,RASD2,RPS2,RPS21,RPS29,RPS8	
iNOS Signaling	1.16E00	6.82E-02	NaN	IFNGR2,JAK2,LY96	
Mouse Embryonic Stem Cell Pluripotency	1.15E00	4.9E-02	0.000	JAK2,MYC,RASD2,SMO,TP53	
Aryl Hydrocarbon Receptor Signaling	1.15E00	4.48E-02	NaN	ALDH1A1,GSTM2,GSTM4,MYC,RXRA,TP53	
GNRH Signaling	1.12E00	4.12E-02	-0.816	GNG11,ITPR1,ITPR2,MAP3K1,MAP3K13,PAK3,RASD2	
Ovarian Cancer Signaling	1.1E00	4.35E-02	NaN	BRCA1,CGA,PDGFC,RASD2,SMO,TP53	
Polyamine Regulation in Colon Cancer	1.09E00	9.09E-02	NaN	MYC,OAZ1	
Molecular Mechanisms of Cancer	1.08E00	3.32E-02	NaN	ARHGEF2,BCL2L1,BIRC3,BRCA1,ITGA5,JAK2,MYC,PAK3,RASD2,RASGRP1,SMAD7,SMO,TP53	
Molybdenum Cofactor Biosynthesis	1.08E00	2.5E-01	NaN	GPHN	
Acetate Conversion to Acetyl-CoA	1.08E00	2.5E-01	NaN	ACSS2	
Tumor Microenvironment Pathway	1.08E00	4.02E-02	-1.134	CXCL8,ITGA5,JAK2,LGALS9,MYC,PDGFC,RASD2	
TNFR1 Signaling	1.07E00	6.25E-02	NaN	BIRC3,MAP3K1,PAK3	
Stearate Biosynthesis I (Animals)	1.07E00	6.25E-02	NaN	CYP2E1,CYP4A11,CYP4A22	
Thyroid Cancer Signaling	1.07E00	5.19E-02	-1.000	CXCL8,MYC,RASD2,TP53	
Colorectal Cancer Metastasis Signaling	1.06E00	3.66E-02	0.000	BCL2L1,GNG11,JAK2,MYC,PDGFC,RASD2,SMO,TLR8,TP53	
Acute Phase Response Signaling	1.06E00	3.98E-02	1.342	APCS,C9,JAK2,MAP3K1,OSMR,RASD2,SOCS6	
Serotonin Degradation	1.05E00	6.12E-02	NaN	ALDH1A1,UGT2B10,UGT2B11	
Coronavirus Pathogenesis Pathway	1.04E00	4.17E-02	-0.816	CXCL8,RPS2,RPS21,RPS29,RPS8,TP53	
Myc Mediated Apoptosis Signaling	1.03E00	6E-02	NaN	BCL2L1,MYC,TP53	
Glutathione-mediated Detoxification	1.03E00	8.33E-02	NaN	GSTM2,GSTM4	
IL-17 Signaling	1.02E00	5E-02	NaN	CXCL8,JAK2,RASD2,TIMP1	
Prolactin Signaling	1.01E00	4.94E-02	NaN	JAK2,MYC,RASD2,SOCS6	
NGF Signaling	1.01E00	4.42E-02	NaN	MAP3K1,MAP3K13,RASD2,ROCK2,TP53	
IL-17A Signaling in Gastric Cells	9.96E-01	8E-02	NaN	CCL20,CXCL8	
Role of JAK family kinases in IL-6-type Cytokine Signaling	9.96E-01	8E-02	NaN	JAK2,OSMR	
Gluconeogenesis I	9.96E-01	8E-02	NaN	ENO4,ME2	
PEDF Signaling	9.96E-01	4.88E-02	NaN	BCL2L1,RASD2,ROCK2,TP53	
CD27 Signaling in Lymphocytes	9.91E-01	5.77E-02	NaN	BCL2L1,MAP3K1,MAP3K13	
Pyruvate Fermentation to Lactate	9.87E-01	2E-01	NaN	LDHB	
Serine Biosynthesis	9.87E-01	2E-01	NaN	PSAT1	
Tetrapyrrole Biosynthesis II	9.87E-01	2E-01	NaN	ALAS2	
α-tocopherol Degradation	9.87E-01	2E-01	NaN	CYP4A11	
Myo-inositol Biosynthesis	9.87E-01	2E-01	NaN	ISYNA1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	9.67E-01	7.69E-02	NaN	UGT2B10,UGT2B11	
HGF Signaling	9.51E-01	4.24E-02	NaN	ELF1,ITGA5,MAP3K1,MAP3K13,RASD2	
Rac Signaling	9.39E-01	4.2E-02	0.000	IQGAP1,ITGA5,MAP3K1,PAK3,RASD2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	9.39E-01	3.34E-02	NaN	C5AR1,CXCL8,DKK1,JAK2,MYC,PDGFC,RASD2,ROCK2,SMO,TLR8	
Ethanol Degradation II	9.39E-01	7.41E-02	NaN	ACSS2,ALDH1A1	
EGF Signaling	9.36E-01	5.45E-02	NaN	ITPR1,ITPR2,MAP3K1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.32E-01	3.42E-02	0.333	BCL2L1,CXCL8,IFNA16,IFNGR2,JAK2,MYC,RASD2,RASGRP1,TLR8	
Ceramide Signaling	9.24E-01	4.6E-02	NaN	MAP3K1,NSMAF,PTPA,RASD2	
Glutamate Receptor Signaling	9.21E-01	5.36E-02	NaN	DLG4,GNG11,GRIN2D	
RAR Activation	9.17E-01	3.66E-02	NaN	ALDH1A1,JAK2,MAP3K1,PML,RXRA,SMAD7,SORBS3	
Ceramide Biosynthesis	9.1E-01	1.67E-01	NaN	KDSR	
UDP-N-acetyl-D-glucosamine Biosynthesis II	9.1E-01	1.67E-01	NaN	GFPT1	
Semaphorin Signaling in Neurons	9.03E-01	5.26E-02	NaN	PAK3,ROCK2,SEMA3A	
Role of CHK Proteins in Cell Cycle Checkpoint Control	9.03E-01	5.26E-02	NaN	BRCA1,PTPA,TP53	
Cancer Drug Resistance By Drug Efflux	9.03E-01	5.26E-02	NaN	mir-154,RASD2,TP53	
TNFR2 Signaling	8.89E-01	6.9E-02	NaN	BIRC3,MAP3K1	
Sonic Hedgehog Signaling	8.89E-01	6.9E-02	NaN	ARRB2,SMO	
G Protein Signaling Mediated by Tubby	8.66E-01	6.67E-02	NaN	GNG11,JAK2	
Superpathway of Serine and Glycine Biosynthesis I	8.48E-01	1.43E-01	NaN	PSAT1	
Glycogen Biosynthesis II (from UDP-D-Glucose)	8.48E-01	1.43E-01	NaN	UGP2	
CXCR4 Signaling	8.39E-01	3.66E-02	-1.342	GNG11,ITPR1,ITPR2,PAK3,RASD2,ROCK2	
SPINK1 General Cancer Pathway	8.39E-01	4.92E-02	NaN	JAK2,RASD2,SPINK1	
α-Adrenergic Signaling	8.36E-01	4.26E-02	NaN	GNG11,ITPR1,ITPR2,RASD2	
Germ Cell-Sertoli Cell Junction Signaling	8.3E-01	3.64E-02	NaN	EPN2,IQGAP1,MAP3K1,MAP3K13,PAK3,RASD2	
Thrombin Signaling	8.21E-01	3.45E-02	-1.342	ARHGEF2,F2RL2,GNG11,ITPR1,ITPR2,RASD2,ROCK2	
Role of JAK2 in Hormone-like Cytokine Signaling	8.21E-01	6.25E-02	NaN	JAK2,SOCS6	
Hematopoiesis from Pluripotent Stem Cells	8.21E-01	6.25E-02	NaN	CXCL8,IGLC1	
ATM Signaling	8.12E-01	4.17E-02	-1.000	BRCA1,MDM4,PTPA,TP53	
Thrombopoietin Signaling	8.1E-01	4.76E-02	NaN	JAK2,MYC,RASD2	
Xenobiotic Metabolism PXR Signaling Pathway	8.04E-01	3.57E-02	-1.633	ALDH1A1,GSTM2,GSTM4,RXRA,UGT2B10,UGT2B11	
DNA Methylation and Transcriptional Repression Signaling	7.99E-01	6.06E-02	NaN	H4C3,H4C8	
Opioid Signaling Pathway	7.99E-01	3.28E-02	-0.816	ARRB2,GNG11,GRIN2D,GRK4,ITPR1,ITPR2,MYC,RASD2	
ErbB2-ErbB3 Signaling	7.96E-01	4.69E-02	NaN	ERBB2,MYC,RASD2	
Phosphatidylethanolamine Biosynthesis II	7.96E-01	1.25E-01	NaN	ETNK2	
Mineralocorticoid Biosynthesis	7.96E-01	1.25E-01	NaN	HSD3B7	
PD-1, PD-L1 cancer immunotherapy pathway	7.9E-01	4.08E-02	1.000	BCL2L1,IFNGR2,JAK2,RASGRP1	
Kinetochore Metaphase Signaling Pathway	7.9E-01	4.08E-02	0.000	BUB1B,H2AC18/H2AC19,KIF2C,MIS12	
Pyridoxal 5'-phosphate Salvage Pathway	7.83E-01	4.62E-02	NaN	GRK4,PAK3,SGK1	
Apoptosis Signaling	7.8E-01	4.04E-02	NaN	BCL2L1,BIRC3,RASD2,TP53	
TWEAK Signaling	7.77E-01	5.88E-02	NaN	BIRC3,TNFRSF12A	
Hepatic Fibrosis Signaling Pathway	7.75E-01	3.01E-02	-2.111	CXCL8,ITGA5,JAK2,MYC,PDGFC,RASD2,ROCK2,SMAD7,SMO,TIMP1,TRPM7	
Neuropathic Pain Signaling In Dorsal Horn Neurons	7.7E-01	4E-02	-2.000	GRIN2D,ITPR1,ITPR2,TAC1	
Hereditary Breast Cancer Signaling	7.57E-01	3.65E-02	NaN	BARD1,BRCA1,RASD2,SFN,TP53	
Osteoarthritis Pathway	7.54E-01	3.3E-02	0.378	ACVRL1,CXCL8,DKK1,ITGA5,PDGFC,SMAD7,SMO	
Heme Biosynthesis II	7.5E-01	1.11E-01	NaN	ALAS2	
Glucocorticoid Biosynthesis	7.5E-01	1.11E-01	NaN	HSD3B7	
Type I Diabetes Mellitus Signaling	7.47E-01	3.92E-02	NaN	HSPD1,IFNGR2,JAK2,SOCS6	
Chronic Myeloid Leukemia Signaling	7.47E-01	3.92E-02	NaN	BCL2L1,MYC,RASD2,TP53	
Interferon Signaling	7.4E-01	5.56E-02	NaN	IFNGR2,JAK2	
PAK Signaling	7.28E-01	3.85E-02	NaN	ITGA5,PAK3,PDGFC,RASD2	
Xenobiotic Metabolism AHR Signaling Pathway	7.17E-01	4.29E-02	NaN	ALDH1A1,GSTM2,GSTM4	
GM-CSF Signaling	7.17E-01	4.29E-02	NaN	BCL2L1,JAK2,RASD2	
Calcium Transport I	7.08E-01	1E-01	NaN	ATP2C2	
NAD Phosphorylation and Dephosphorylation	7.08E-01	1E-01	NaN	ACP1	
Glycine Betaine Degradation	7.08E-01	1E-01	NaN	SARDH	
tRNA Charging	7.03E-01	5.26E-02	NaN	NARS2,VARS2	
Actin Cytoskeleton Signaling	6.95E-01	3.17E-02	-1.342	IQGAP1,ITGA5,PAK3,PDGFC,RASD2,ROCK2,SSH2	
Ephrin B Signaling	6.93E-01	4.17E-02	NaN	ACP1,GNG11,ROCK2	
MSP-RON Signaling In Macrophages Pathway	6.88E-01	3.7E-02	-2.000	IFNGR2,JAK2,RASD2,ST14	
Primary Immunodeficiency Signaling	6.86E-01	5.13E-02	NaN	IGLC1,RFX5	
RhoGDI Signaling	6.76E-01	3.24E-02	1.342	ARHGDIB,ARHGEF2,GNG11,ITGA5,PAK3,ROCK2	
Assembly of RNA Polymerase I Complex	6.72E-01	9.09E-02	NaN	POLR1A	
MIF Regulation of Innate Immunity	6.7E-01	5E-02	NaN	LY96,TP53	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	6.7E-01	5E-02	NaN	CXCL8,IFNA16	
Toll-like Receptor Signaling	6.58E-01	4E-02	NaN	LY96,MAP3K1,TLR8	
GDNF Family Ligand-Receptor Interactions	6.46E-01	3.95E-02	NaN	ITPR1,ITPR2,RASD2	
Macropinocytosis Signaling	6.46E-01	3.95E-02	NaN	ITGA5,PDGFC,RASD2	
BAG2 Signaling Pathway	6.38E-01	4.76E-02	NaN	MYC,TP53	
Gαq Signaling	6.27E-01	3.27E-02	-1.342	GNG11,HTR2B,ITPR1,ITPR2,ROCK2	
fMLP Signaling in Neutrophils	6.25E-01	3.48E-02	NaN	GNG11,ITPR1,ITPR2,RASD2	
Actin Nucleation by ARP-WASP Complex	6.25E-01	3.85E-02	NaN	ITGA5,RASD2,ROCK2	
GP6 Signaling Pathway	6.25E-01	3.48E-02	-1.000	COL6A1,COL6A2,ITPR1,LAMB1	
BEX2 Signaling Pathway	6.25E-01	3.85E-02	NaN	ERBB2,PDGFC,PTPA	
Cholecystokinin/Gastrin-mediated Signaling	6.16E-01	3.45E-02	NaN	ITPR1,ITPR2,RASD2,ROCK2	
LXR/RXR Activation	6.09E-01	3.42E-02	0.000	C9,LY96,NR1H2,RXRA	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	6.09E-01	4.55E-02	NaN	BRCA1,TP53	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.09E-01	3.42E-02	NaN	JAK2,RASD2,SMO,TP53	
Androgen Biosynthesis	6.07E-01	7.69E-02	NaN	HSD3B7	
Cholesterol Biosynthesis I	6.07E-01	7.69E-02	NaN	SQLE	
Bile Acid Biosynthesis, Neutral Pathway	6.07E-01	7.69E-02	NaN	HSD3B7	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	6.07E-01	7.69E-02	NaN	SQLE	
Histamine Degradation	6.07E-01	7.69E-02	NaN	ALDH1A1	
Cholesterol Biosynthesis III (via Desmosterol)	6.07E-01	7.69E-02	NaN	SQLE	
Role of BRCA1 in DNA Damage Response	6.04E-01	3.75E-02	NaN	BARD1,BRCA1,TP53	
Estrogen Receptor Signaling	5.97E-01	2.82E-02	0.333	DLG4,GNG11,JAK2,MED6,MYC,PDGFC,RASD2,ROCK2,TP53	
Insulin Secretion Signaling Pathway	5.87E-01	2.93E-02	-0.378	AGO2,EIF4A1,ITPR1,ITPR2,JAK2,PC,SRP54	
nNOS Signaling in Neurons	5.82E-01	4.35E-02	NaN	DLG4,GRIN2D	
DNA Double-Strand Break Repair by Homologous Recombination	5.8E-01	7.14E-02	NaN	BRCA1	
Chondroitin Sulfate Degradation (Metazoa)	5.8E-01	7.14E-02	NaN	CEMIP	
Leukotriene Biosynthesis	5.8E-01	7.14E-02	NaN	GSTM4	
Colanic Acid Building Blocks Biosynthesis	5.8E-01	7.14E-02	NaN	UGP2	
Atherosclerosis Signaling	5.77E-01	3.31E-02	NaN	CXCL8,PDGFC,PLAAT1,TNFRSF12A	
Inhibition of ARE-Mediated mRNA Degradation Pathway	5.77E-01	3.31E-02	0.000	AGO2,PTPA,SFN,XRN1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	5.75E-01	3.61E-02	NaN	AP1S2,JAK2,PTPA	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	5.75E-01	3.61E-02	NaN	BRCA1,PYGO2,SMO	
TR/RXR Activation	5.65E-01	3.57E-02	NaN	RXRA,SLC16A2,SYT2	
HER-2 Signaling in Breast Cancer	5.65E-01	3.57E-02	NaN	ERBB2,RASD2,TP53	
HIPPO signaling	5.65E-01	3.57E-02	NaN	DLG4,PTPA,SFN	
T Cell Exhaustion Signaling Pathway	5.64E-01	3.09E-02	0.000	IFNA16,JAK2,LGALS9,PTPA,RASD2	
Dermatan Sulfate Degradation (Metazoa)	5.54E-01	6.67E-02	NaN	CEMIP	
Neuroinflammation Signaling Pathway	5.42E-01	2.77E-02	1.134	BIRC3,CXCL8,GABRR3,GRIN2D,IFNA16,IFNGR2,JAK2,TLR8	
Synaptic Long Term Potentiation	5.39E-01	3.17E-02	NaN	GRIN2D,ITPR1,ITPR2,RASD2	
RANK Signaling in Osteoclasts	5.38E-01	3.45E-02	NaN	BIRC3,MAP3K1,MAP3K13	
Melanoma Signaling	5.32E-01	4E-02	NaN	RASD2,TP53	
Assembly of RNA Polymerase II Complex	5.32E-01	4E-02	NaN	TAF15,TAF2	
Putrescine Degradation III	5.3E-01	6.25E-02	NaN	ALDH1A1	
Fatty Acid α-oxidation	5.3E-01	6.25E-02	NaN	ALDH1A1	
Acute Myeloid Leukemia Signaling	5.29E-01	3.41E-02	NaN	MYC,PML,RASD2	
p70S6K Signaling	5.24E-01	3.12E-02	NaN	F2RL2,PTPA,RASD2,SFN	
Role of NFAT in Cardiac Hypertrophy	5.21E-01	2.86E-02	-0.447	GNG11,ITPR1,ITPR2,MAP3K1,RASD2,RCAN1	
Role of NFAT in Regulation of the Immune Response	5.2E-01	2.96E-02	NaN	GNG11,ITPR1,ITPR2,RASD2,RCAN1	
UVC-Induced MAPK Signaling	5.2E-01	3.92E-02	NaN	RASD2,TP53	
Wnt/β-catenin Signaling	5.2E-01	2.96E-02	-0.447	DKK1,MYC,PTPA,SMO,TP53	
Gα12/13 Signaling	5.1E-01	3.08E-02	NaN	F2RL2,MAP3K1,RASD2,ROCK2	
Role of Cytokines in Mediating Communication between Immune Cells	5.09E-01	3.85E-02	NaN	CXCL8,IFNA16	
Tryptophan Degradation X (Mammalian, via Tryptamine)	5.09E-01	5.88E-02	NaN	ALDH1A1	
Agranulocyte Adhesion and Diapedesis	5.03E-01	2.91E-02	NaN	C5AR1,CCL20,CXCL8,CXCR1,ITGA5	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.98E-01	3.77E-02	NaN	H4C3,H4C8	
Autophagy	4.98E-01	3.77E-02	NaN	ATG16L1,CTSS	
ErbB Signaling	4.88E-01	3.23E-02	NaN	ERBB2,PAK3,RASD2	
FAT10 Signaling Pathway	4.88E-01	5.56E-02	NaN	UBA1	
Role of IL-17A in Arthritis	4.87E-01	3.7E-02	NaN	CCL20,CXCL8	
Salvage Pathways of Pyrimidine Ribonucleotides	4.8E-01	3.19E-02	NaN	GRK4,PAK3,SGK1	
Nitric Oxide Signaling in the Cardiovascular System	4.8E-01	3.19E-02	NaN	ITPR1,ITPR2,PDGFC	
Calcium-induced T Lymphocyte Apoptosis	4.76E-01	3.64E-02	NaN	ITPR1,ITPR2	
SPINK1 Pancreatic Cancer Pathway	4.76E-01	3.64E-02	NaN	CTRB2,SPINK1	
Methionine Degradation I (to Homocysteine)	4.69E-01	5.26E-02	NaN	MAT1A	
CNTF Signaling	4.67E-01	3.57E-02	NaN	JAK2,RASD2	
Hepatic Cholestasis	4.58E-01	2.78E-02	NaN	ATP8B1,CXCL8,HSD3B7,LY96,RXRA	
Retinoic acid Mediated Apoptosis Signaling	4.57E-01	3.51E-02	NaN	IFNA16,RXRA	
UVA-Induced MAPK Signaling	4.57E-01	3.09E-02	NaN	BCL2L1,RASD2,TP53	
Type II Diabetes Mellitus Signaling	4.52E-01	2.88E-02	NaN	ADIPOR2,MAP3K1,NSMAF,SOCS6	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	4.51E-01	5E-02	NaN	IFNA16	
