© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Thrombopoietin Signaling	2.39E00	1.27E-01	1.414	GRB2,JAK2,JUN,PIK3CB,PRKCA,PRKCB,RRAS2,STAT5B	
Ubiquinol-10 Biosynthesis (Eukaryotic)	2.36E00	2.35E-01	2.000	CYP11A1,CYP2E1,CYP4A11,CYP4A22	
Superpathway of Melatonin Degradation	2.34E00	1.37E-01	1.134	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1,UGT2B10,UGT3A1	
Lymphotoxin β Receptor Signaling	2.25E00	1.32E-01	2.236	APAF1,BIRC2,CHUK,ELP1,EP300,PIK3CB,TRAF3	
Prolactin Signaling	2.24E00	1.11E-01	1.414	EP300,GRB2,JAK2,JUN,PIK3CB,PRKCA,PRKCB,RRAS2,STAT5B	
Estrogen Receptor Signaling	2.19E00	7.21E-02	2.711	CREB3L3,DDX5,EP300,GNAT2,GRB2,HNRNPD,IGF2R,JAK1,JAK2,JUN,MED15,MYL6B,NCOA1,PAK1,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2,VEGFA,ZDHHC7	
IL-12 Signaling and Production in Macrophages	2.15E00	9.23E-02	NaN	APOA4,APOB,APOL1,CHUK,ELP1,EP300,IRF8,JUN,NCOA1,PIK3CB,PRKCA,PRKCB	
Semaphorin Neuronal Repulsive Signaling Pathway	2.1E00	9.09E-02	0.577	CD44,MAP2K5,MYL6B,NRP2,PAK1,PAK2,PDE4B,PDE4D,PIK3CB,PRKACB,PRKAR2B,PRKG1	
Ketogenesis	2.05E00	2.73E-01	NaN	HADHA,HADHB,HMGCS2	
Hypoxia Signaling in the Cardiovascular System	2.04E00	1.11E-01	2.236	CREB3L3,EP300,JUN,LDHA,UBE2A,UBE2D1,UBE2D4,VEGFA	
T Cell Receptor Signaling	2.02E00	9.71E-02	NaN	CD28,CHUK,CTLA4,ELP1,GRB2,JUN,NFATC3,PIK3CB,PPP3CB,RRAS2	
Assembly of RNA Polymerase III Complex	1.94E00	2.5E-01	NaN	GTF3C1,GTF3C2,GTF3C5	
VDR/RXR Activation	1.91E00	1.05E-01	-1.134	CXCL10,EP300,IGFBP1,NCOA1,PRKCA,PRKCB,PSMC5,SERPINB1	
TNFR1 Signaling	1.88E00	1.25E-01	2.449	APAF1,BIRC2,CHUK,JUN,PAK1,PAK2	
Sperm Motility	1.85E00	7.55E-02	-0.302	CNGA1,ITPR3,JAK1,JAK2,MAP2K5,MERTK,PDE4B,PDE4D,PLA2G12A,PLA2G2C,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1	
Protein Ubiquitination Pathway	1.85E00	7.12E-02	NaN	ANAPC1,BIRC2,BTRC,CRYAB,DNAJC2,DNAJC5B,PSMC1,PSMC5,PSMD2,SMURF1,UBD,UBE2A,UBE2D1,UBE2D4,UBE4B,USP2,USP24,USP54,USP9Y	
Mevalonate Pathway I	1.84E00	2.31E-01	NaN	HADHA,HADHB,HMGCS2	
T Cell Exhaustion Signaling Pathway	1.8E00	8.02E-02	0.302	CD28,CTLA4,HLA-DPA1,IFNAR2,JAK1,JAK2,JUN,NFATC3,PDK1,PIK3CB,PPP2R1B,RRAS2,VEGFA	
Role of BRCA1 in DNA Damage Response	1.78E00	1E-01	NaN	ARID1A,BABAM2,E2F1,HLTF,NBN,RBL2,RFC2,SMARCA2	
JAK/Stat Signaling	1.78E00	1E-01	1.414	GRB2,JAK1,JAK2,JUN,PIAS3,PIK3CB,RRAS2,STAT5B	
Erythropoietin Signaling	1.78E00	7.98E-02	0.832	APAF1,BIRC2,GRB2,HBE1,ITPR3,JAK2,JUN,MACROH2A2,PIK3CB,PRKCA,PRKCB,RRAS2,STAT5B	
Phototransduction Pathway	1.76E00	1.18E-01	NaN	CNGA1,GNAT2,PRKACB,PRKAR2B,RGS9,RHO	
Methylglyoxal Degradation III	1.75E00	2.14E-01	NaN	CYP2E1,CYP4A11,CYP4A22	
VEGF Family Ligand-Receptor Interactions	1.72E00	9.76E-02	1.890	GRB2,NRP2,PIK3CB,PLA2G12A,PRKCA,PRKCB,RRAS2,VEGFA	
Insulin Secretion Signaling Pathway	1.71E00	7.11E-02	1.213	AGO1,AGO2,CREB3L3,EIF2A,EIF4A3,GOSR2,ITPR3,JAK1,JAK2,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RPS6KA5,STAT5B	
LPS-stimulated MAPK Signaling	1.69E00	9.64E-02	1.890	CHUK,ELP1,JUN,PAK1,PIK3CB,PRKCA,PRKCB,RRAS2	
Estrogen Biosynthesis	1.68E00	1.28E-01	1.342	CYP19A1,CYP2B6,CYP2C8,CYP2C9,CYP2E1	
April Mediated Signaling	1.64E00	1.25E-01	2.000	CHUK,ELP1,JUN,NFATC3,TRAF3	
PPAR Signaling	1.62E00	8.82E-02	-0.707	CHUK,CITED2,ELP1,EP300,GRB2,JUN,NCOA1,RRAS2,STAT5B	
Melatonin Signaling	1.62E00	1E-01	0.378	MAP2K5,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RORA	
GM-CSF Signaling	1.62E00	1E-01	1.633	GRB2,JAK2,PIK3CB,PPP3CB,PRKCB,RRAS2,STAT5B	
EGF Signaling	1.61E00	1.09E-01	0.816	GRB2,ITPR3,JAK1,JUN,PIK3CB,PRKCA	
PDGF Signaling	1.61E00	9.3E-02	1.414	GRB2,JAK1,JAK2,JUN,PIK3CB,PRKCA,PRKCB,RRAS2	
B Cell Activating Factor Signaling	1.6E00	1.22E-01	2.236	CHUK,ELP1,JUN,NFATC3,TRAF3	
LPS/IL-1 Mediated Inhibition of RXR Function	1.6E00	7.18E-02	-1.265	ABCC2,ACOX1,ACSL5,CPT1A,CYP2B6,CYP2C8,CYP2C9,CYP4A11,CYP7A1,FABP1,HMGCS2,JUN,NCOA1,SLC27A2,SLCO1B3	
Small Cell Lung Cancer Signaling	1.59E00	9.86E-02	0.447	APAF1,BIRC2,CHUK,E2F1,PIAS3,PIK3CB,TRAF3	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.59E00	9.2E-02	NaN	CD28,CHUK,ELP1,GRB2,JUN,NFATC3,PPP3CB,RRAS2	
CNTF Signaling	1.58E00	1.07E-01	0.816	GRB2,JAK1,JAK2,PIK3CB,RPS6KA5,RRAS2	
IGF-1 Signaling	1.57E00	8.65E-02	1.414	GRB2,IGFBP1,JAK1,JAK2,JUN,PIK3CB,PRKACB,PRKAR2B,RRAS2	
FXR/RXR Activation	1.55E00	8.2E-02	NaN	ABCB4,ABCC2,APOA4,APOB,APOL1,C4A/C4B,CYP19A1,CYP7A1,FETUB,SLCO1B3	
Oncostatin M Signaling	1.52E00	1.16E-01	1.342	GRB2,JAK1,JAK2,RRAS2,STAT5B	
γ-linolenate Biosynthesis II (Animals)	1.52E00	1.76E-01	NaN	ACSL5,CYB5A,SLC27A2	
Mitochondrial L-carnitine Shuttle Pathway	1.52E00	1.76E-01	NaN	ACSL5,CPT1A,SLC27A2	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.52E00	1.76E-01	NaN	BPNT2,INPP5A,SEC16A	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	1.52E00	1.76E-01	NaN	HADHA,HADHB,HMGCS2	
ERK/MAPK Signaling	1.51E00	7.14E-02	1.604	CREB3L3,GRB2,MOS,PAK1,PAK2,PIK3CB,PLA2G12A,PPP2R1B,PRKACB,PRKAR2B,PRKCA,PRKCB,RPS6KA5,RRAS2	
Th1 and Th2 Activation Pathway	1.5E00	7.5E-02	NaN	CD28,CHD4,GRB2,HLA-DPA1,JAK1,JAK2,JUN,NFATC3,NFIL3,PIK3CB,RUNX3,STAT5B	
Molecular Mechanisms of Cancer	1.49E00	6.14E-02	NaN	APAF1,ARHGEF15,BIRC2,CDK11B,CDK12,CDK13,E2F1,EP300,FZD7,GNAT2,GRB2,JAK1,JAK2,JUN,NBN,PAK1,PAK2,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2,WNT11	
P2Y Purigenic Receptor Signaling Pathway	1.49E00	8E-02	1.897	CREB3L3,JUN,P2RY1,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
IL-6 Signaling	1.49E00	8E-02	1.667	CHUK,CRP,CYP19A1,ELP1,GRB2,JAK2,JUN,PIK3CB,RRAS2,VEGFA	
Fatty Acid β-oxidation I	1.48E00	1.33E-01	2.000	ACSL5,HADHA,HADHB,SLC27A2	
Synaptic Long Term Potentiation	1.47E00	7.94E-02	1.265	CREB3L3,EP300,ITPR3,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
Coronavirus Pathogenesis Pathway	1.46E00	7.64E-02	0.302	CHUK,E2F1,EIF2A,EP300,IFNAR2,JAK1,JUN,RBL2,RPS27L,TMPRSS2,TRAF3	
Th2 Pathway	1.44E00	7.87E-02	0.378	CD28,CHD4,GRB2,HLA-DPA1,JAK1,JAK2,JUN,PIK3CB,RUNX3,STAT5B	
Th1 Pathway	1.44E00	8.18E-02	1.134	CD28,GRB2,HLA-DPA1,JAK1,JAK2,NFATC3,NFIL3,PIK3CB,RUNX3	
ErbB Signaling	1.43E00	8.6E-02	2.121	GRB2,JUN,PAK1,PAK2,PIK3CB,PRKCA,PRKCB,RRAS2	
IL-2 Signaling	1.42E00	9.84E-02	2.236	GRB2,JAK1,JUN,PIK3CB,RRAS2,STAT5B	
Melanocyte Development and Pigmentation Signaling	1.41E00	8.51E-02	1.414	CREB3L3,EP300,GRB2,PIK3CB,PRKACB,PRKAR2B,RPS6KA5,RRAS2	
Nitric Oxide Signaling in the Cardiovascular System	1.41E00	8.51E-02	0.000	ITPR3,PIK3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1,VEGFA	
PFKFB4 Signaling Pathway	1.41E00	1.09E-01	0.447	CREB3L3,MAP2K5,PRKACB,PRKAR2B,RPS6KA5	
Xenobiotic Metabolism CAR Signaling Pathway	1.41E00	7.27E-02	1.732	ABCC2,CITED2,CYP2B6,CYP2C8,CYP2C9,EP300,MAP2K5,NCOA1,PPP2R1B,PRKCA,PRKCB,UGT2B10	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.4E00	7.07E-02	1.732	APOA4,APOB,APOL1,CHUK,ELP1,IRF8,JAK1,JAK2,JUN,PIK3CB,PPP2R1B,PRKCA,PRKCB	
Role of JAK2 in Hormone-like Cytokine Signaling	1.39E00	1.25E-01	NaN	HLTF,JAK1,JAK2,STAT5B	
S-methyl-5'-thioadenosine Degradation II	1.39E00	1E00	NaN	MTAP	
Adenine and Adenosine Salvage VI	1.39E00	1E00	NaN	ADK	
Cdc42 Signaling	1.39E00	7.69E-02	2.828	ARPC2,ARPC5L,CLIP1,DIAPH1,EXOC1,HLA-DPA1,JUN,MYL6B,PAK1,PAK2	
Xenobiotic Metabolism PXR Signaling Pathway	1.36E00	7.14E-02	1.732	ABCC2,CITED2,CYP2B6,CYP2C8,CYP2C9,EP300,NCOA1,PRKACB,PRKAR2B,PRKCA,PRKCB,UGT2B10	
Protein Kinase A Signaling	1.35E00	5.99E-02	0.943	AKAP12,AKAP4,ANAPC1,CHUK,CNGA1,CREB3L3,DCC,FLNB,ITPR3,MTMR3,MYL6B,NFATC3,PDE4B,PDE4D,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PTPN23,PTPRB,RHO	
IL-17 Signaling	1.34E00	8.75E-02	NaN	CRP,CXCL10,JAK1,JAK2,JUN,PIK3CB,RRAS2	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	1.33E00	1.5E-01	NaN	DUT,NME6,PCK1	
fMLP Signaling in Neutrophils	1.33E00	7.83E-02	1.667	ARPC2,ARPC5L,ITPR3,NFATC3,PIK3CB,PPP3CB,PRKCA,PRKCB,RRAS2	
Role of Tissue Factor in Cancer	1.33E00	7.83E-02	NaN	JAK2,PAK1,PIK3CB,PLAUR,PRKCA,RPS6KA5,RRAS2,STAT5B,VEGFA	
CD40 Signaling	1.33E00	9.38E-02	2.449	CHUK,ELP1,JUN,MAP2K5,PIK3CB,TRAF3	
PI3K Signaling in B Lymphocytes	1.33E00	7.52E-02	2.530	CHUK,ITPR3,JUN,NFATC3,PIK3AP1,PIK3CB,PLCL2,PPP3CB,PRKCB,RRAS2	
IL-4 Signaling	1.32E00	8.64E-02	NaN	GRB2,IL13RA1,JAK1,JAK2,NFATC3,PIK3CB,RRAS2	
TWEAK Signaling	1.31E00	1.18E-01	2.000	APAF1,BIRC2,CHUK,TRAF3	
Netrin Signaling	1.3E00	9.23E-02	1.633	DCC,NFATC3,PPP3CB,PRKACB,PRKAR2B,PRKG1	
Androgen Signaling	1.29E00	7.41E-02	0.707	EP300,GNAT2,GTF2E2,JUN,KAT7,NCOA1,PRKACB,PRKAR2B,PRKCA,PRKCB	
Clathrin-mediated Endocytosis Signaling	1.29E00	6.81E-02	NaN	APOA4,APOB,APOL1,ARPC2,ARPC5L,DAB2,DNM1,FGF11,GRB2,PIK3CB,PPP3CB,UBD,VEGFA	
Senescence Pathway	1.29E00	6.32E-02	2.000	ANAPC1,ASXL2,CHUK,E2F1,EP300,ITPR3,JUN,MAP2K5,NBN,NFATC3,PDK1,PIK3CB,PPP2R1B,PPP3CB,RBL2,RPS6KA5,RRAS2	
Hereditary Breast Cancer Signaling	1.26E00	7.3E-02	NaN	ARID1A,E2F1,EP300,HLTF,NBN,PIK3CB,RFC2,RRAS2,SMARCA2,UBD	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.25E00	8.96E-02	NaN	GRB2,JAK1,JAK2,PIK3CB,RRAS2,STAT5B	
UVB-Induced MAPK Signaling	1.25E00	9.8E-02	0.447	JUN,PIK3CB,PRKCA,PRKCB,RPS6KA5	
Mouse Embryonic Stem Cell Pluripotency	1.24E00	7.84E-02	2.121	FZD7,GRB2,ID1,ID2,JAK1,JAK2,PIK3CB,RRAS2	
CDP-diacylglycerol Biosynthesis I	1.23E00	1.36E-01	NaN	LPCAT1,MBOAT2,TAMM41	
Agrin Interactions at Neuromuscular Junction	1.23E00	8.82E-02	2.000	JUN,LAMB1,LAMC1,PAK1,PAK2,RRAS2	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.22E00	6.96E-02	0.632	CREB3L3,ITPR3,KCNJ15,PLCL2,PPP2R1B,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1	
CD27 Signaling in Lymphocytes	1.22E00	9.62E-02	1.000	APAF1,CHUK,ELP1,JUN,MAP2K5	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.18E00	1.3E-01	NaN	BPNT2,INPP5A,SEC16A	
HIF1α Signaling	1.15E00	6.47E-02	2.496	EGLN3,EP300,JUN,LDHA,MAP2K5,NCOA1,PIK3CB,PPP3CB,PRKCA,PRKCB,RRAS2,VEGFA,VIM	
Growth Hormone Signaling	1.15E00	8.45E-02	0.000	JAK2,PIK3CB,PRKCA,PRKCB,RPS6KA5,STAT5B	
ERK5 Signaling	1.15E00	8.45E-02	1.633	CREB3L3,MAP2K5,RPS6KA5,RRAS2,SGK1,WNK1	
Purine Nucleotides De Novo Biosynthesis II	1.14E00	1.82E-01	NaN	ADSS1,GART	
IL-22 Signaling	1.14E00	1.25E-01	NaN	IL22,JAK1,STAT5B	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.14E00	1.25E-01	NaN	IFNAR2,JAK1,JAK2	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.14E00	1.25E-01	NaN	LPCAT1,MBOAT2,TAMM41	
Calcium-induced T Lymphocyte Apoptosis	1.13E00	9.09E-02	0.000	EP300,ITPR3,PPP3CB,PRKCA,PRKCB	
Leptin Signaling in Obesity	1.13E00	8.33E-02	NaN	GRB2,JAK2,PIK3CB,PLCL2,PRKACB,PRKAR2B	
MSP-RON Signaling In Macrophages Pathway	1.12E00	7.41E-02	1.414	CHUK,CREB3L3,GRB2,HLA-DPA1,JAK2,JUN,PIK3CB,RRAS2	
Glucocorticoid Receptor Signaling	1.12E00	5.56E-02	NaN	ARID1A,CHUK,ELP1,EP300,GRB2,GTF2E2,GTF2F2,HLTF,IL13RA1,JAK1,JAK2,JUN,NCOA1,NFATC3,PCK1,PIK3CB,PLA2G12A,PPP3CB,PRKACB,RPS6KA5,RRAS2,SGK1,SMARCA2,STAT5B,TFB1M	
Non-Small Cell Lung Cancer Signaling	1.11E00	8.22E-02	0.000	E2F1,GRB2,ITPR3,PIK3CB,PRKCA,RRAS2	
Estrogen-Dependent Breast Cancer Signaling	1.11E00	8.22E-02	1.633	CREB3L3,CYP19A1,JUN,PIK3CB,RRAS2,STAT5B	
Glioma Signaling	1.1E00	7.34E-02	1.633	E2F1,GRB2,IGF2R,PIK3CB,PRKCA,PRKCB,RBL2,RRAS2	
Necroptosis Signaling Pathway	1.1E00	6.8E-02	2.530	BIRC2,CHUK,FKBP1A,JAK1,MERTK,PLA2G12A,PPP3CB,RBL2,TIMM13,TIMM23B	
Alanine Degradation III	1.1E00	5E-01	NaN	GPT2	
Alanine Biosynthesis II	1.1E00	5E-01	NaN	GPT2	
Uridine-5'-phosphate Biosynthesis	1.1E00	5E-01	NaN	UMPS	
Sulfate Activation for Sulfonation	1.1E00	5E-01	NaN	PAPSS1	
Glutamine Degradation I	1.1E00	5E-01	NaN	GLS2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.09E00	1.2E-01	NaN	JAK1,JAK2,STAT5B	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.08E00	8.77E-02	NaN	CLSPN,E2F1,NBN,PPP2R1B,RFC2	
Cancer Drug Resistance By Drug Efflux	1.08E00	8.77E-02	NaN	ABCC2,mir-154,PDK1,PIK3CB,RRAS2	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.08E00	6.42E-02	2.111	CHUK,FGF11,GRB2,ID2,JAK1,JAK2,JUN,MAP2K5,PIK3CB,RRAS2,SMURF1,VIM	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.07E00	9.76E-02	2.000	CTPS1,NME6,PCK1,UMPS	
Role of NFAT in Regulation of the Immune Response	1.06E00	6.51E-02	1.897	CD28,CHUK,ELP1,GNAT2,GRB2,ITPR3,JUN,NFATC3,PIK3CB,PPP3CB,RRAS2	
GNRH Signaling	1.04E00	6.47E-02	1.508	CREB3L3,GRB2,ITPR3,JUN,PAK1,PAK2,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
NF-κB Activation by Viruses	1.04E00	7.89E-02	1.633	CHUK,ELP1,PIK3CB,PRKCA,PRKCB,RRAS2	
Neurotrophin/TRK Signaling	1.04E00	7.89E-02	2.449	CREB3L3,GRB2,JUN,MAP2K5,PIK3CB,RRAS2	
Maturity Onset Diabetes of Young (MODY) Signaling	1.03E00	8.47E-02	NaN	APOA4,APOB,APOL1,EP300,FABP1	
Gap Junction Signaling	1.03E00	6.28E-02	NaN	GRB2,ITPR3,MAP2K5,PIK3CB,PLCL2,PPP3CB,PRKACB,PRKAR2B,PRKCA,PRKCB,PRKG1,RRAS2	
Fatty Acid Activation	1.01E00	1.54E-01	NaN	ACSL5,SLC27A2	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.01E00	1.54E-01	NaN	ACSF3,SLC27A2	
HOTAIR Regulatory Pathway	1.01E00	6.54E-02	1.897	AGO1,AGO2,CD44,DNMT3B,EP300,let-7,PIK3CB,STK38,VIM,WNT11	
Role of PKR in Interferon Induction and Antiviral Response	1E00	6.96E-02	1.890	APAF1,CHUK,E2F1,ELP1,IFNAR2,JAK1,JUN,TRAF3	
p53 Signaling	9.87E-01	7.22E-02	1.134	APAF1,E2F1,EP300,GNL3,JUN,PIK3CB,THBS1	
UVA-Induced MAPK Signaling	9.87E-01	7.22E-02	0.447	JUN,PARP11,PIK3CB,PLCL2,PRKCA,RPS6KA5,RRAS2	
Wnt/Ca+ pathway	9.83E-01	8.2E-02	1.342	CREB3L3,FZD7,NFATC3,PLCL2,PRKCA	
FLT3 Signaling in Hematopoietic Progenitor Cells	9.79E-01	7.59E-02	1.633	CREB3L3,GRB2,PIK3CB,RPS6KA5,RRAS2,STAT5B	
iNOS Signaling	9.79E-01	9.09E-02	1.000	CHUK,JAK1,JAK2,JUN	
Superpathway of Cholesterol Biosynthesis	9.79E-01	1.07E-01	NaN	HADHA,HADHB,HMGCS2	
IL-23 Signaling Pathway	9.79E-01	9.09E-02	-1.000	IL22,JAK2,PIK3CB,RORA	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	9.63E-01	5.69E-02	NaN	CHUK,CREB3L3,ELP1,FN1,FZD7,JAK2,JUN,NFATC3,PIK3CB,PLCL2,PPP3CB,PRKCA,PRKCB,RRAS2,TRAF3,VEGFA,WNT11	
DNA Double-Strand Break Repair by Non-Homologous End Joining	9.59E-01	1.43E-01	NaN	LIG4,NBN	
CCR3 Signaling in Eosinophils	9.55E-01	6.78E-02	1.890	ITPR3,PAK1,PAK2,PIK3CB,PLA2G12A,PRKCA,PRKCB,RRAS2	
Apoptosis Signaling	9.55E-01	7.07E-02	0.816	APAF1,BIRC2,CHUK,ELP1,PRKCA,RRAS2,SPTAN1	
Ovarian Cancer Signaling	9.43E-01	6.52E-02	1.342	CD44,E2F1,FZD7,PIK3CB,PRKACB,PRKAR2B,RRAS2,VEGFA,WNT11	
TNFR2 Signaling	9.43E-01	1.03E-01	NaN	BIRC2,CHUK,JUN	
Rac Signaling	9.39E-01	6.72E-02	2.828	ARPC2,ARPC5L,CD44,JUN,PAK1,PAK2,PIK3CB,RRAS2	
B Cell Receptor Signaling	9.39E-01	6.18E-02	3.162	CHUK,CREB3L3,ELP1,GRB2,JUN,NFATC3,PIK3AP1,PIK3CB,PPP3CB,PRKCB,RRAS2	
Neuropathic Pain Signaling In Dorsal Horn Neurons	9.36E-01	7E-02	0.378	ITPR3,PIK3CB,PLCL2,PRKACB,PRKAR2B,PRKCA,PRKCB	
Methylglyoxal Degradation I	9.28E-01	3.33E-01	NaN	HAGHL	
5-aminoimidazole Ribonucleotide Biosynthesis I	9.28E-01	3.33E-01	NaN	GART	
Hypusine Biosynthesis	9.28E-01	3.33E-01	NaN	DHPS	
Anandamide Degradation	9.28E-01	3.33E-01	NaN	NAAA	
Biotin-carboxyl Carrier Protein Assembly	9.28E-01	3.33E-01	NaN	ACACA	
Thiosulfate Disproportionation III (Rhodanese)	9.28E-01	3.33E-01	NaN	MOCS3	
S-adenosyl-L-methionine Biosynthesis	9.28E-01	3.33E-01	NaN	MAT2B	
iCOS-iCOSL Signaling in T Helper Cells	9.21E-01	6.93E-02	1.633	CD28,CHUK,GRB2,ITPR3,NFATC3,PIK3CB,PPP3CB	
Hepatic Cholestasis	9.17E-01	6.11E-02	NaN	ABCB4,ABCC2,CHUK,CYP7A1,ELP1,JUN,PRKACB,PRKAR2B,PRKCA,PRKCB,SLCO1B3	
ErbB2-ErbB3 Signaling	9.17E-01	7.81E-02	2.000	GRB2,JUN,PIK3CB,RRAS2,STAT5B	
Telomere Extension by Telomerase	9.07E-01	1.33E-01	NaN	NBN,POT1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	9.03E-01	7.23E-02	NaN	CD28,CTLA4,GRB2,JAK2,PIK3CB,PPP2R1B	
Chronic Myeloid Leukemia Signaling	9.03E-01	6.86E-02	NaN	CHUK,E2F1,GRB2,PIK3CB,RBL2,RRAS2,STAT5B	
BMP signaling pathway	9.03E-01	7.23E-02	0.816	GRB2,JUN,PRKACB,PRKAR2B,RRAS2,SMURF1	
Endothelin-1 Signaling	8.93E-01	6.04E-02	0.905	GNAT2,GRB2,ITPR3,JUN,PIK3CB,PLA2G12A,PLA2G2C,PLCL2,PRKCA,PRKCB,RRAS2	
G Beta Gamma Signaling	8.93E-01	6.56E-02	0.707	GNAT2,GRB2,PAK1,PRKACB,PRKAR2B,PRKCA,PRKCB,RRAS2	
TR/RXR Activation	8.86E-01	7.14E-02	NaN	ACACA,CYP7A1,EP300,NCOA1,PCK1,PIK3CB	
FGF Signaling	8.86E-01	7.14E-02	0.816	CREB3L3,FGF11,GRB2,PIK3CB,PRKCA,RPS6KA5	
