© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	2.54E00	2.35E-01	0.000	HADHB,HMGCS1,HMGCS2,IDI1	
p53 Signaling	2.54E00	1.03E-01	0.000	GNL3,KAT2B,PIK3C2A,PIK3CA,PIK3R1,PTEN,RRM2B,STAG1,TP53BP2,TP53INP1	
Superpathway of Cholesterol Biosynthesis	2.5E00	1.79E-01	-0.447	HADHB,HMGCS1,HMGCS2,IDI1,SC5D	
STAT3 Pathway	2.4E00	8.89E-02	-1.000	BMPR2,CXCR1,GHR,IFNAR1,IGF1,IL5RA,IL6ST,KRAS,PTPN2,SOCS4,SOCS5,SOCS6	
IGF-1 Signaling	2.32E00	9.62E-02	-1.414	IGF1,IGFBP1,IGFBP7,KRAS,PIK3C2A,PIK3CA,PIK3R1,SOCS4,SOCS5,SOCS6	
JAK/Stat Signaling	2.05E00	1E-01	-0.707	KRAS,PIAS2,PIK3C2A,PIK3CA,PIK3R1,SOCS4,SOCS5,SOCS6	
Glutathione-mediated Detoxification	1.98E00	1.67E-01	-2.000	GSTA1,GSTA2,GSTM2,GSTM3	
Chondroitin Sulfate Degradation (Metazoa)	1.88E00	2.14E-01	NaN	CEMIP,CEMIP2,OGA	
Xenobiotic Metabolism AHR Signaling Pathway	1.86E00	1E-01	-1.890	ALDH3B1,GSTA1,GSTA2,GSTM2,GSTM3,HSP90AA1,PON1	
Glioma Invasiveness Signaling	1.82E00	9.86E-02	-2.646	ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ	
Dermatan Sulfate Degradation (Metazoa)	1.8E00	2E-01	NaN	CEMIP,CEMIP2,OGA	
CNTF Signaling	1.79E00	1.07E-01	-2.449	IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3	
Prostate Cancer Signaling	1.79E00	8.99E-02	NaN	CREB3L3,HSP90AA1,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,SIN3A	
Estrogen-Dependent Breast Cancer Signaling	1.76E00	9.59E-02	-1.633	CREB3L3,HSD17B13,IGF1,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Role of p14/p19ARF in Tumor Suppression	1.74E00	1.43E-01	NaN	NPM1,PIK3C2A,PIK3CA,PIK3R1	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.74E00	3.33E-01	NaN	GFPT1,PGM3	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	1.74E00	3.33E-01	NaN	KYNU,TDO2	
ILK Signaling	1.73E00	7.03E-02	-1.508	CREB3L3,DOCK1,ITGB3,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PPP2R5A,PTEN,RHOJ,RHOQ,RICTOR,VIM	
Extrinsic Prothrombin Activation Pathway	1.72E00	1.88E-01	NaN	F13B,PROS1,TFPI	
FcγRIIB Signaling in B Lymphocytes	1.71E00	9.33E-02	-2.236	BLNK,CACNA1C,CACNB4,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Thyroid Cancer Signaling	1.65E00	9.09E-02	-1.134	IGF1,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,TCF4	
NGF Signaling	1.64E00	7.96E-02	-1.414	CREB3L3,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,ROCK2,RPS6KA3	
Semaphorin Neuronal Repulsive Signaling Pathway	1.63E00	7.58E-02	0.000	BCAN,ITGB3,PDE4B,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,ROCK2,SEMA3A,SMC3	
NF-κB Signaling	1.63E00	7.02E-02	-2.309	BMPR2,GHR,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,TAB3,TBK1,TLR1,TLR8,ZAP70	
SPINK1 General Cancer Pathway	1.62E00	9.84E-02	-0.816	KRAS,MT3,PIK3C2A,PIK3CA,PIK3R1,SPINK1	
Aldosterone Signaling in Epithelial Cells	1.6E00	7.19E-02	-2.449	DNAJC21,DNAJC28,HSCB,HSP90AA1,HSPA4L,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,SLC12A2	
HOTAIR Regulatory Pathway	1.6E00	7.19E-02	-0.905	AEBP2,KMT2A,let-7,MMP27,PIK3C2A,PIK3CA,PIK3R1,PTEN,ROCK2,TCF4,VIM	
Retinoate Biosynthesis I	1.59E00	1.29E-01	NaN	ADH1B,ADH1C,ADH4,DHRS4	
Mitotic Roles of Polo-Like Kinase	1.56E00	9.52E-02	NaN	HSP90AA1,KIF23,PPP2R5A,SLK,SMC3,STAG2	
Role of JAK2 in Hormone-like Cytokine Signaling	1.55E00	1.25E-01	NaN	GHR,SOCS4,SOCS5,SOCS6	
Prolactin Signaling	1.54E00	8.64E-02	-1.134	KRAS,PIK3C2A,PIK3CA,PIK3R1,SOCS4,SOCS5,SOCS6	
PEDF Signaling	1.52E00	8.54E-02	-1.134	KRAS,PIK3C2A,PIK3CA,PIK3R1,ROCK2,TCF4,ZEB1	
Type II Diabetes Mellitus Signaling	1.5E00	7.19E-02	-1.342	CACNA1C,CACNB4,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,SLC2A2,SOCS4,SOCS5,SOCS6	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.49E00	8.43E-02	NaN	AP1B1,AP2B1,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A,ZAP70	
Ketolysis	1.49E00	2.5E-01	NaN	BDH2,HADHB	
Melanoma Signaling	1.45E00	1E-01	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN	
PI3K/AKT Signaling	1.45E00	6.59E-02	0.000	CXCR1,GHR,HSP90AA1,IFNAR1,IL5RA,IL6ST,ITGB3,KRAS,PIK3CA,PIK3R1,PPP2R5A,PTEN	
Coagulation System	1.42E00	1.14E-01	0.000	F13B,KLKB1,PROS1,TFPI	
PKCθ Signaling in T Lymphocytes	1.39E00	6.9E-02	-2.121	CACNA1C,CACNB4,CAMK2D,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,ZAP70	
LPS/IL-1 Mediated Inhibition of RXR Function	1.35E00	6.22E-02	2.000	ABCB11,ALDH3B1,CYP7A1,FMO4,FMO5,GSTA1,GSTA2,GSTM2,GSTM3,HMGCS1,HMGCS2,MAP3K1,SLCO1B3	
Polyamine Regulation in Colon Cancer	1.35E00	1.36E-01	NaN	KRAS,MXD1,TCF4	
Glioma Signaling	1.33E00	7.34E-02	-1.890	CAMK2D,IGF1,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,SIN3A	
Dolichyl-diphosphooligosaccharide Biosynthesis	1.31E00	2E-01	NaN	ALG13,ALG5	
Tryptophan Degradation III (Eukaryotic)	1.3E00	1.3E-01	NaN	HADHB,KYNU,TDO2	
EGF Signaling	1.3E00	9.09E-02	-1.342	ITPR2,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Non-Small Cell Lung Cancer Signaling	1.29E00	8.22E-02	-2.236	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,SIN3A	
Tumor Microenvironment Pathway	1.26E00	6.32E-02	-2.111	ARG1,IGF1,ITGB3,KRAS,MMP27,PIK3C2A,PIK3CA,PIK3R1,SLC16A1,SLC2A2,TNC	
MSP-RON Signaling In Cancer Cells Pathway	1.25E00	6.77E-02	-1.000	CREB3L3,KLKB1,KRAS,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3,TCF4,VIM	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.25E00	1.25E-01	NaN	CGA,IFNAR1,PTPN2	
Cancer Drug Resistance By Drug Efflux	1.24E00	8.77E-02	NaN	KRAS,mir-154,PIK3CA,PIK3R1,PTEN	
NAD biosynthesis II (from tryptophan)	1.23E00	1.82E-01	NaN	KYNU,TDO2	
Acute Phase Response Signaling	1.23E00	6.25E-02	-0.333	C9,IL6ST,KLKB1,KRAS,MAP3K1,PIK3CA,PIK3R1,SOCS4,SOCS5,SOCS6,TCF4	
NF-κB Activation by Viruses	1.22E00	7.89E-02	-1.633	ITGB3,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
PTEN Signaling	1.22E00	6.67E-02	1.890	BCL2L11,BMPR2,GHR,ITGB3,KRAS,MAGI1,PIK3CA,PIK3R1,PTEN	
Role of Tissue Factor in Cancer	1.22E00	6.96E-02	NaN	FRK,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,RPS6KA3	
SAPK/JNK Signaling	1.21E00	7.29E-02	-1.890	KRAS,MAP3K1,MAP3K13,MAP4K5,PIK3C2A,PIK3CA,PIK3R1	
Actin Nucleation by ARP-WASP Complex	1.18E00	7.69E-02	-1.342	ITGB3,KRAS,PPP1R12A,RHOJ,RHOQ,ROCK2	
HIF1α Signaling	1.18E00	5.97E-02	-1.732	CAMK2D,HSP90AA1,IGF1,KRAS,LDHB,mir-135,MMP27,PIK3C2A,PIK3CA,PIK3R1,SLC2A2,VIM	
Kinetochore Metaphase Signaling Pathway	1.17E00	7.14E-02	-0.378	MASTL,PPP1R12A,PPP2R5A,SKA2,SMC3,STAG1,STAG2	
HGF Signaling	1.17E00	6.78E-02	-1.890	DOCK1,ITGB3,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1	
Endometrial Cancer Signaling	1.17E00	8.33E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.16E00	7.59E-02	-1.633	CREB3L3,KRAS,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3	
Phagosome Formation	1.15E00	6.72E-02	NaN	ITGB3,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,TLR1,TLR8	
Flavin Biosynthesis IV (Mammalian)	1.14E00	5E-01	NaN	RFK	
Sulfate Activation for Sulfonation	1.14E00	5E-01	NaN	PAPSS1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.14E00	8.2E-02	-2.000	IFNAR1,PIK3C2A,PIK3CA,PIK3R1,ZNF346	
Integrin Signaling	1.14E00	5.88E-02	-2.530	ARHGAP5,DOCK1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PTEN,RHOJ,RHOQ,TSPAN1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.13E00	7E-02	-2.646	CAMK2D,GRIN2D,ITPR2,PIK3C2A,PIK3CA,PIK3R1,TAC1	
NRF2-mediated Oxidative Stress Response	1.12E00	5.98E-02	NaN	DNAJC21,FKBP5,GSTA1,GSTA2,GSTM2,GSTM3,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.12E00	5.98E-02	-0.905	LYZ,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,PON1,PPP1R12A,PPP2R5A,RHOJ,RHOQ	
iCOS-iCOSL Signaling in T Helper Cells	1.11E00	6.93E-02	-1.633	CAMK2D,ITPR2,PIK3C2A,PIK3CA,PIK3R1,PTEN,ZAP70	
FXR/RXR Activation	1.1E00	6.56E-02	NaN	ABCB11,C9,CYP7A1,FETUB,PON1,SLC51B,SLCO1B1,SLCO1B3	
Histamine Degradation	1.1E00	1.54E-01	NaN	ALDH3B1,HNMT	
Neuregulin Signaling	1.09E00	6.86E-02	-0.447	DLG4,HSP90AA1,ITGB3,KRAS,PIK3R1,PTEN,RNF41	
Virus Entry via Endocytic Pathways	1.09E00	6.86E-02	NaN	AP1B1,AP2B1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
FAK Signaling	1.09E00	6.86E-02	NaN	DOCK1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN	
Mouse Embryonic Stem Cell Pluripotency	1.09E00	6.86E-02	-1.134	BMPR2,IL6ST,KRAS,PIK3C2A,PIK3CA,PIK3R1,TCF4	
T Cell Receptor Signaling	1.08E00	6.8E-02	NaN	KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,RASGRP1,ZAP70	
ErbB2-ErbB3 Signaling	1.07E00	7.81E-02	-1.342	KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN	
Role of NFAT in Cardiac Hypertrophy	1.07E00	5.71E-02	-2.309	AKAP5,CACNA1C,CACNB4,CAMK2D,IGF1,IL6ST,ITPR2,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Telomerase Signaling	1.06E00	6.73E-02	-1.134	DKC1,HSP90AA1,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A	
TR/RXR Activation	1.06E00	7.14E-02	NaN	CYP7A1,NXPH2,PIK3C2A,PIK3CA,PIK3R1,SYT2	
Methylglyoxal Degradation III	1.04E00	1.43E-01	NaN	ADH4,CYP4A22	
Ephrin A Signaling	1.03E00	8.51E-02	NaN	PIK3C2A,PIK3CA,PIK3R1,ROCK2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.01E00	7.46E-02	NaN	BLNK,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Ceramide Signaling	1E00	6.9E-02	0.816	KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,PPP2R5A	
Synaptogenesis Signaling Pathway	1E00	5.21E-02	-2.324	AP1B1,AP2B1,CACNB4,CAMK2D,CLASP2,CREB3L3,DLG4,GRIN2D,KRAS,PIK3C2A,PIK3CA,PIK3R1,RASGRP1,SYT2,THBS2,THBS3	
MSP-RON Signaling In Macrophages Pathway	9.96E-01	6.48E-02	-1.890	ARG1,CREB3L3,KLKB1,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Histidine Degradation VI	9.87E-01	1.33E-01	NaN	AMDHD1,CYP4A22	
Glucocorticoid Receptor Signaling	9.83E-01	4.89E-02	NaN	BCL2L11,CDK7,CXCR1,FKBP5,GHR,HMGB1,HSP90AA1,IFNAR1,IGF1,IL5RA,IL6ST,KAT2B,KRAS,KRT222,MAP3K1,PFKFB1,PIK3C2A,PIK3CA,PIK3R1,POLR2K,TAF2,TFB1M	
Inosine-5'-phosphate Biosynthesis II	9.75E-01	3.33E-01	NaN	PAICS	
Tyrosine Biosynthesis IV	9.75E-01	3.33E-01	NaN	PAH	
GM-CSF Signaling	9.47E-01	7.14E-02	-2.236	CAMK2D,KRAS,PIK3C2A,PIK3CA,PIK3R1	
UVB-Induced MAPK Signaling	9.36E-01	7.84E-02	-2.000	PIK3C2A,PIK3CA,PIK3R1,RPS6KA3	
Small Cell Lung Cancer Signaling	9.28E-01	7.04E-02	NaN	PIK3C2A,PIK3CA,PIK3R1,PTEN,SIN3A	
ERK5 Signaling	9.28E-01	7.04E-02	-1.342	CREB3L3,IL6ST,KRAS,RPS6KA3,WNK1	
IL-9 Signaling	9.24E-01	9.09E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
B Cell Receptor Signaling	9.24E-01	5.62E-02	-1.265	BLNK,CAMK2D,CREB3L3,KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,PTEN	
Androgen Signaling	9.1E-01	5.93E-02	-1.000	CACNA1C,CACNB4,CDK7,HSP90AA1,KAT2B,POLR2K,SHBG,TAF2	
Ubiquinol-10 Biosynthesis (Eukaryotic)	8.96E-01	1.18E-01	NaN	CYP4A22,ECHDC1	
GP6 Signaling Pathway	8.89E-01	6.09E-02	-1.890	COL27A1,COL6A1,ITGB3,LAMB1,PIK3C2A,PIK3CA,PIK3R1	
Melanocyte Development and Pigmentation Signaling	8.86E-01	6.38E-02	-1.633	CREB3L3,KRAS,PIK3C2A,PIK3CA,PIK3R1,RPS6KA3	
Hereditary Breast Cancer Signaling	8.86E-01	5.84E-02	NaN	FANCA,KRAS,NPM1,PIK3C2A,PIK3CA,PIK3R1,POLR2K,PTEN	
Nitric Oxide Signaling in the Cardiovascular System	8.86E-01	6.38E-02	-1.633	CACNA1C,HSP90AA1,ITPR2,PIK3C2A,PIK3CA,PIK3R1	
GABA Receptor Signaling	8.86E-01	6.38E-02	NaN	AP1B1,AP2B1,CACNA1C,CACNB4,GABRR1,GABRR3	
3-phosphoinositide Biosynthesis	8.76E-01	5.63E-02	-3.000	NUDT9,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
Angiopoietin Signaling	8.73E-01	6.76E-02	NaN	ANGPT2,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Ovarian Cancer Signaling	8.73E-01	5.8E-02	-2.236	CGA,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,SIN3A,TCF4	
Nucleotide Excision Repair Pathway	8.7E-01	8.57E-02	NaN	CDK7,ERCC8,POLR2K	
Spermine and Spermidine Degradation I	8.57E-01	2.5E-01	NaN	PAOX	
Arginine Degradation I (Arginase Pathway)	8.57E-01	2.5E-01	NaN	ARG1	
Trans, trans-farnesyl Diphosphate Biosynthesis	8.57E-01	2.5E-01	NaN	IDI1	
Phenylalanine Degradation I (Aerobic)	8.57E-01	2.5E-01	NaN	PAH	
Amyotrophic Lateral Sclerosis Signaling	8.54E-01	6.25E-02	-1.342	CACNA1C,GRIN2D,IGF1,PIK3C2A,PIK3CA,PIK3R1	
IL-15 Signaling	8.54E-01	6.67E-02	-1.342	IL5RA,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Glioblastoma Multiforme Signaling	8.51E-01	5.56E-02	-2.828	IGF1,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,PTEN,RHOJ,RHOQ	
CCR3 Signaling in Eosinophils	8.48E-01	5.93E-02	-2.000	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,ROCK2	
Rac Signaling	8.36E-01	5.88E-02	-1.633	IQGAP2,ITGB3,KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
GDNF Family Ligand-Receptor Interactions	8.36E-01	6.58E-02	-2.000	ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Neurotrophin/TRK Signaling	8.36E-01	6.58E-02	-1.342	CREB3L3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Macropinocytosis Signaling	8.36E-01	6.58E-02	-2.000	ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
CXCR4 Signaling	8.3E-01	5.49E-02	-3.000	DOCK1,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,ROCK2	
PD-1, PD-L1 cancer immunotherapy pathway	8.24E-01	6.12E-02	1.633	PIK3C2A,PIK3CA,PIK3R1,PTEN,RASGRP1,ZAP70	
Lipid Antigen Presentation by CD1	8.18E-01	1.05E-01	NaN	AP1B1,AP2B1	
Germ Cell-Sertoli Cell Junction Signaling	8.18E-01	5.45E-02	NaN	KRAS,MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,TUBA3E	
Semaphorin Signaling in Neurons	8.1E-01	7.02E-02	NaN	RHOJ,RHOQ,ROCK2,SEMA3A	
Docosahexaenoic Acid (DHA) Signaling	7.93E-01	7.89E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
MSP-RON Signaling Pathway	7.9E-01	6.9E-02	NaN	KLKB1,PIK3C2A,PIK3CA,PIK3R1	
RAR Activation	7.85E-01	5.24E-02	NaN	ADH1B,ADH1C,ADH4,CDK7,DHRS4,KAT2B,MAP3K1,PIK3CA,PIK3R1,PTEN	
Clathrin-mediated Endocytosis Signaling	7.85E-01	5.24E-02	NaN	AP1B1,AP2B1,CD2AP,IGF1,ITGB3,LYZ,PIK3C2A,PIK3CA,PIK3R1,PON1	
Superpathway of Inositol Phosphate Compounds	7.77E-01	5.21E-02	-3.162	NUDT9,PIK3C2A,PIK3CA,PIK3R1,PIP4K2A,PPP1R12A,PPP2R5A,PTEN,PTPN2,UBLCP1	
Maturity Onset Diabetes of Young (MODY) Signaling	7.72E-01	6.78E-02	NaN	APOL4,CACNA1C,ONECUT1,SLC2A2	
Pyruvate Fermentation to Lactate	7.7E-01	2E-01	NaN	LDHB	
Glutathione Redox Reactions I	7.5E-01	9.52E-02	NaN	GSTA1,GSTM2	
Synaptic Long Term Potentiation	7.47E-01	5.56E-02	-0.816	CACNA1C,CAMK2D,CREB3L3,GRIN2D,ITPR2,KRAS,PPP1R12A	
Role of IL-17F in Allergic Inflammatory Airway Diseases	7.47E-01	7.5E-02	NaN	CREB3L3,IGF1,RPS6KA3	
nNOS Signaling in Skeletal Muscle Cells	7.47E-01	7.5E-02	NaN	CACNA1C,CACNB4,DMD	
Epithelial Adherens Junction Signaling	7.45E-01	5.37E-02	NaN	BMPR2,KRAS,LMO7,MAGI1,PTEN,SSX2IP,TCF4,TUBA3E	
IL-8 Signaling	7.38E-01	5.1E-02	-3.162	ANGPT2,CXCR1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,ROCK2	
ERK/MAPK Signaling	7.38E-01	5.1E-02	-0.333	CREB3L3,DOCK1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,PPP2R5A,VRK2	
IL-2 Signaling	7.35E-01	6.56E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Opioid Signaling Pathway	7.33E-01	4.92E-02	-1.155	AP1B1,AP2B1,CACNA1C,CACNB4,CAMK2D,CREB3L3,FRK,GRIN2D,GRK4,ITPR2,KRAS,RPS6KA3	
Paxillin Signaling	7.28E-01	5.71E-02	-2.236	DOCK1,ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
Intrinsic Prothrombin Activation Pathway	7.24E-01	7.32E-02	NaN	F13B,KLKB1,PROS1	
HER-2 Signaling in Breast Cancer	7.12E-01	5.95E-02	NaN	ITGB3,KRAS,PIK3C2A,PIK3CA,PIK3R1	
HIPPO signaling	7.12E-01	5.95E-02	NaN	DLG1,DLG4,PPP1R12A,PPP2R5A,TP53BP2	
FGF Signaling	7.12E-01	5.95E-02	-0.447	CREB3L3,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Thrombopoietin Signaling	7.01E-01	6.35E-02	-2.000	KRAS,PIK3C2A,PIK3CA,PIK3R1	
Gαq Signaling	7.01E-01	5.23E-02	-2.828	HTR2B,ITPR2,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ,ROCK2	
Urea Cycle	6.99E-01	1.67E-01	NaN	ARG1	
Arginine Degradation VI (Arginase 2 Pathway)	6.99E-01	1.67E-01	NaN	ARG1	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	6.99E-01	1.67E-01	NaN	DLAT	
Ceramide Degradation	6.99E-01	1.67E-01	NaN	ACER3	
Signaling by Rho Family GTPases	6.93E-01	4.82E-02	-2.111	ARHGEF17,ITGB3,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,RDX,RHOJ,RHOQ,ROCK2,SEPTIN2,VIM	
IL-17A Signaling in Airway Cells	6.86E-01	6.25E-02	-1.000	PIK3C2A,PIK3CA,PIK3R1,PTEN	
PDGF Signaling	6.84E-01	5.81E-02	-1.342	KRAS,MAP3K1,PIK3C2A,PIK3CA,PIK3R1	
Apelin Pancreas Signaling Pathway	6.82E-01	6.98E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
Thrombin Signaling	6.76E-01	4.93E-02	-3.000	CAMK2D,ITPR2,KRAS,PIK3C2A,PIK3CA,PIK3R1,PPP1R12A,RHOJ,RHOQ,ROCK2	
RANK Signaling in Osteoclasts	6.72E-01	5.75E-02	-1.342	MAP3K1,MAP3K13,PIK3C2A,PIK3CA,PIK3R1	
PI3K Signaling in B Lymphocytes	6.68E-01	5.26E-02	-1.890	BLNK,CAMK2D,ITPR2,KRAS,PIK3CA,PIK3R1,PTEN	
IL-23 Signaling Pathway	6.64E-01	6.82E-02	NaN	PIK3C2A,PIK3CA,PIK3R1	
HMGB1 Signaling	6.62E-01	5.1E-02	-2.828	HMGB1,KAT2B,KRAS,PIK3C2A,PIK3CA,PIK3R1,RHOJ,RHOQ	
Glycolysis I	6.6E-01	8.33E-02	NaN	ENO4,PGK2	
